campaign,alpha_deg,case,slice_id,d_over_D,HBR,VR,Re_branch,CoV,dP_rgh_kPa,abs_dP_kPa,dP_std_kPa,CoV_mass,Is_mass,H2_outletAvg
30deg,30.0,1,1,0.1964,0.184,5.8418,30164259.0,0.0052387893,4.208940431741378,4.208940431741378,9.89967050629281,0.0051980344,1.3461728e-06,0.046603602
30deg,30.0,2,1,0.1964,0.0596,1.6427,8481943.0,0.38987828,0.6350836468860481,0.6350836468860481,13.416589242247927,0.38420265,0.0012167237,0.0084006403
30deg,30.0,3,2,0.2518,0.0778,1.3303,8806546.0,0.27777012,0.5382053311823461,0.5382053311823461,14.414204503297915,0.27767435,0.00084205631,0.01172496
30deg,30.0,5,3,0.2963,0.0983,1.2413,9669011.0,0.29767577,0.6075937554363622,0.6075937554363622,14.004891434815587,0.29559858,0.001205984,0.014109833
30deg,30.0,6,3,0.2963,0.1867,2.6143,20363579.0,0.088320694,1.322887217742509,1.322887217742509,10.486520499932205,0.087514377,0.00023559631,0.029929219
30deg,30.0,7,4,0.3815,0.142,1.1374,11406729.0,0.23780571,0.8162734643565471,0.8162734643565471,10.46966084670023,0.23758875,0.0011407405,0.020508672
30deg,30.0,8,4,0.3815,0.0916,0.6927,6946939.0,0.32659718,-0.5589962406378359,0.5589962406378359,11.69432895593144,0.32609073,0.0013656107,0.0062586525
30deg,30.0,9,5,0.3957,0.1298,0.9528,9908566.0,0.30738126,0.28173616675184654,0.28173616675184654,14.463885992504986,0.30593468,0.0017422011,0.01609254
30deg,30.0,10,5,0.3957,0.1121,0.8063,8385496.0,0.34507697,-0.5107498626779253,0.5107498626779253,10.833807808797594,0.34262823,0.0018611019,0.010727936
90deg,90.0,3,3,0.2518,0.0778,1.3303,nan,0.47234251,1.218118397667439,1.218118397667439,13.986208207327325,nan,nan,nan
90deg,90.0,4,4,0.2518,0.1945,3.8073,nan,0.065797429,3.29888653355736,3.29888653355736,11.765049220448892,nan,nan,nan
90deg,90.0,5,5,0.2963,0.0983,1.2413,nan,0.5769753,1.6286067871152927,1.6286067871152927,15.281273439109889,nan,nan,nan
90deg,90.0,6,6,0.2963,0.1867,2.6143,nan,0.20161062,3.06283206397541,3.06283206397541,13.437955602177732,nan,nan,nan
90deg,90.0,7,7,0.3815,0.142,1.1374,nan,0.44044681,2.1969491333743636,2.1969491333743636,16.00855537521794,nan,nan,nan
90deg,90.0,8,8,0.3815,0.0916,0.6927,nan,0.70657708,1.3221015837735886,1.3221015837735886,15.29714526399519,nan,nan,nan
90deg,90.0,9,9,0.3957,0.1298,0.9528,nan,0.38964851,1.9537981538819864,1.9537981538819864,16.78226143346991,nan,nan,nan
90deg,90.0,10,10,0.3957,0.1121,0.8063,nan,0.40725967,1.5147400049549553,1.5147400049549553,16.37719253729327,nan,nan,nan
