case,d_over_D,HBR,VR,D2_m,U_main_mps,U_branch_mps,Re_branch,K_main,K_branch,Omega_main,Omega_branch,mix_branch_m,ZJCT,LMAIN,alpha_deg,slice_id
1,0.1964,0.184,5.8418,0.09036,10.0,58.4183,30164259.0,0.375,12.797609,34.7216,1032.5803,0.006325,2.3,6.9,30.0,1
2,0.1964,0.0596,1.6427,0.09036,10.0,16.4267,8481943.0,0.375,1.011892,34.7216,290.3531,0.006325,2.3,6.9,30.0,1
3,0.2518,0.0778,1.3303,0.11585,10.0,13.3032,8806546.0,0.375,0.663661,34.7216,183.4123,0.008109,2.3,6.9,30.0,2
4,0.2518,0.1945,3.8073,0.11585,10.0,38.0731,25203798.0,0.375,5.435845,34.7216,524.9147,0.008109,2.3,6.9,30.0,2
5,0.2963,0.0983,1.2413,0.13631,10.0,12.4132,9669011.0,0.375,0.577825,34.7216,145.4462,0.009542,2.3,6.9,30.0,3
6,0.2963,0.1867,2.6143,0.13631,10.0,26.143,20363579.0,0.375,2.562954,34.7216,306.3192,0.009542,2.3,6.9,30.0,3
7,0.3815,0.142,1.1374,0.1755,10.0,11.3744,11406729.0,0.375,0.485164,34.7216,103.5179,0.012285,2.3,6.9,30.0,4
8,0.3815,0.0916,0.6927,0.1755,10.0,6.9273,6946939.0,0.375,0.179951,34.7216,63.0446,0.012285,2.3,6.9,30.0,4
9,0.3957,0.1298,0.9528,0.182,10.0,9.5275,9908566.0,0.375,0.3404,34.7216,83.6116,0.01274,2.3,6.9,30.0,5
10,0.3957,0.1121,0.8063,0.182,10.0,8.063,8385496.0,0.375,0.243795,34.7216,70.7594,0.01274,2.3,6.9,30.0,5
