case,d_over_D,VR,HBR,CoV_area,dP_p_rgh_area_Pa
case_01,0.1964,5.8418,0.184,,
case_02,0.1964,1.6427,0.0596,nan,10728.802
case_03,0.2518,1.3303,0.0778,0.47234251,-28596.142
case_04,0.2518,3.8073,0.1945,0.065797429,23598.644
case_05,0.2963,1.2413,0.0983,0.5769753,-27055.993
case_06,0.2963,2.6143,0.1867,0.20161062,-19253.603
case_07,0.3815,1.1374,0.142,0.44044681,-32469.243
case_08,0.3815,0.6927,0.0916,0.70657708,-7835.4604
case_09,0.3957,0.9528,0.1298,0.38964851,-17819.69
case_10,0.3957,0.8063,0.1121,0.40725967,-4203.6694
