# Region type :   patch outlet
# Faces           : 387
# Area            : 8.2961617386e-02
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.0022170817      	1.9172084979e+01
0.0092645224      	1.9162228106e+01
0.012884978       	1.9157312293e+01
0.01665343        	1.9152682105e+01
0.02034513        	1.9151736163e+01
0.023827774       	1.9171601219e+01
0.026932755       	1.9258403653e+01
0.029800094       	1.9500546562e+01
0.032644938       	2.0256963759e+01
0.035440331       	2.2795477311e+01
0.038180787       	2.9115866888e+01
0.040808217       	3.8664234616e+01
0.04332293        	4.6658769859e+01
0.045797501       	4.9431608973e+01
0.048249661       	4.8987068795e+01
0.050679937       	4.8799333957e+01
0.053068241       	4.9133772597e+01
0.055391807       	4.9402649649e+01
0.057672178       	4.9653877076e+01
0.059928923       	4.9908681411e+01
0.062169282       	5.0122627084e+01
0.064385178       	5.0265209547e+01
0.066552414       	5.0328291407e+01
0.068669953       	5.0336984413e+01
0.070748606       	5.0319897078e+01
0.072802602       	5.0288429237e+01
0.074841967       	5.0250286723e+01
0.076862847       	5.0225521095e+01
0.078865375       	5.0226433929e+01
0.080852916       	5.0234116761e+01
0.082835943       	5.0219928802e+01
0.084808823       	5.0180331452e+01
0.086769955       	5.0135749505e+01
0.088710805       	5.0110810456e+01
0.090635898       	5.0121850704e+01
0.092546939       	5.0168787340e+01
0.094441831       	5.0236841587e+01
0.096325956       	5.0311778104e+01
0.098210081       	5.0387651307e+01
0.10009234        	5.0460489548e+01
0.10193606        	5.0518926276e+01
0.10377045        	5.0542134444e+01
0.1055933         	5.0491301464e+01
0.10740469        	5.0303343763e+01
0.1091993         	4.9882201754e+01
0.11096708        	4.9092910779e+01
0.11269826        	4.7770774017e+01
0.11438189        	4.5773065264e+01
0.11599914        	4.3077116684e+01
0.11752921        	3.9844079484e+01
0.11895562        	3.6382542991e+01
0.12026773        	3.3038876618e+01
0.12146381        	3.0079696649e+01
0.12255363        	2.7634398025e+01
0.12355483        	2.5717891583e+01
0.12448666        	2.4283726690e+01
0.1253662         	2.3262200557e+01
0.12620686        	2.2578527366e+01
0.12701895        	2.2158988015e+01
0.12781052        	2.1933864473e+01
0.12858771        	2.1839852993e+01
0.12935518        	2.1822217947e+01
0.1301165         	2.1836863211e+01
0.13087418        	2.1851739101e+01
0.13163003        	2.1847123099e+01
0.1323855         	2.1814469764e+01
0.13314171        	2.1753939819e+01
0.13389981        	2.1671149721e+01
0.13466077        	2.1573959017e+01
0.13542549        	2.1469894323e+01
0.13619471        	2.1364632184e+01
0.13696887        	2.1261590169e+01
0.13774839        	2.1162372053e+01
0.13853367        	2.1067706787e+01
0.1393253         	2.0978377243e+01
0.14012391        	2.0895875026e+01
0.14093023        	2.0822613449e+01
0.14174482        	2.0761876973e+01
0.14256827        	2.0717621451e+01
0.14340113        	2.0694376192e+01
0.14424398        	2.0697133770e+01
0.14509767        	2.0731042241e+01
0.1459631         	2.0800562152e+01
0.14684109        	2.0907901448e+01
0.1477324         	2.1051090565e+01
0.14863741        	2.1222684143e+01
0.1495563         	2.1410542909e+01
0.15048912        	2.1600933336e+01
0.1514358         	2.1782352979e+01
0.15239625        	2.1947552939e+01
0.15336999        	2.2092796992e+01
0.1543563         	2.2216180887e+01
0.15535447        	2.2316910612e+01
0.15636403        	2.2395576268e+01
0.15738511        	2.2454446257e+01
0.15841775        	2.2497120688e+01
0.15946213        	2.2527901925e+01
0.16051835        	2.2551298367e+01
0.16158672        	2.2571689006e+01
0.16266771        	2.2592647703e+01
0.16376202        	2.2616022324e+01
0.16487031        	2.2641687319e+01
0.16599339        	2.2668602154e+01
0.16713227        	2.2696512900e+01
0.16828737        	2.2727247035e+01
0.16946042        	2.2765341104e+01
0.17065294        	2.2817538989e+01
0.17186568        	2.2890308283e+01
0.17309874        	2.2985156860e+01
0.17435218        	2.3094137337e+01
0.17562408        	2.3199890980e+01
0.17691089        	2.3283127949e+01
0.17820923        	2.3332706401e+01
0.17951608        	2.3349934365e+01
0.18082816        	2.3346244110e+01
0.1821443         	2.3339923369e+01
0.18346207        	2.3354984449e+01
0.18478412        	2.3421510053e+01
0.18610724        	2.3576347235e+01
0.18743582        	2.3866906240e+01
0.18876536        	2.4351754030e+01
0.19010027        	2.5106071411e+01
0.19143807        	2.6211527292e+01
0.19277587        	2.7743114938e+01
0.19411367        	2.9750667035e+01
0.19545148        	3.2230015647e+01
0.19678928        	3.5097926733e+01
0.19812708        	3.8183023317e+01
0.19946488        	4.1245350905e+01
0.20080863        	4.4037143959e+01
0.20215633        	4.6334898517e+01
0.20350362        	4.8013586059e+01
0.2048504         	4.9080071223e+01
0.20619756        	4.9644269506e+01
0.20754529        	4.9870809675e+01
0.20889382        	4.9926370436e+01
0.21024319        	4.9938424884e+01
0.21159333        	4.9977229136e+01
0.21294408        	5.0061451347e+01
0.21429483        	5.0178455307e+01
0.21564457        	5.0305890647e+01
0.21699225        	5.0424556640e+01
0.21833639        	5.0520905897e+01
0.21967523        	5.0584329138e+01
0.22100697        	5.0604882952e+01
0.22232978        	5.0573956445e+01
0.22364231        	5.0486932380e+01
0.22494365        	5.0345728153e+01
0.22623381        	5.0159682125e+01
0.22751351        	4.9944294029e+01
0.22878485        	4.9717855696e+01
0.23005032        	4.9497394309e+01
0.23131266        	4.9295407386e+01
0.23257466        	4.9118921482e+01
0.23383898        	4.8970515504e+01
0.2351073         	4.8849986066e+01
0.2363806         	4.8755432325e+01
0.23765914        	4.8683797016e+01
0.23894255        	4.8631148187e+01
0.24022995        	4.8592995855e+01
0.24152012        	4.8564649297e+01
0.24281107        	4.8541473926e+01
0.24410201        	4.8518867998e+01
0.24539176        	4.8492120883e+01
0.24667831        	4.8456441097e+01
0.24796076        	4.8407565698e+01
0.24923809        	4.8343086676e+01
0.25050998        	4.8263861662e+01
0.25177682        	4.8174769357e+01
0.25303936        	4.8084195236e+01
0.25429902        	4.8001979309e+01
0.255558          	4.7936400127e+01
0.25681744        	4.7891228068e+01
0.25807955        	4.7863497285e+01
0.25934606        	4.7842824561e+01
0.26061782        	4.7811712403e+01
0.26189577        	4.7746130102e+01
0.26317964        	4.7615909434e+01
0.26446936        	4.7384606678e+01
0.26576424        	4.7009678936e+01
0.26706367        	4.6443384645e+01
0.26836707        	4.5635617200e+01
0.26967438        	4.4539143831e+01
0.27098536        	4.3118586751e+01
0.27229962        	4.1361240362e+01
0.27361731        	3.9286233143e+01
0.27493847        	3.6951855984e+01
0.27626329        	3.4455419579e+01
0.27759201        	3.1925873380e+01
0.27892468        	2.9508597041e+01
0.28026117        	2.7343634718e+01
0.28160129        	2.5541176663e+01
0.28294427        	2.4161269695e+01
0.2842918         	2.3200811095e+01
0.28564015        	2.2603497533e+01
0.28698986        	2.2272277968e+01
0.28834509        	2.2101100475e+01
0.28970031        	2.2001306492e+01
0.29105553        	2.1914228724e+01
0.29241075        	2.1814379660e+01
0.29377082        	2.1700827092e+01
0.29513987        	2.1586215645e+01
0.29650892        	2.1488390105e+01
0.29787797        	2.1422725902e+01
0.29924702        	2.1400896923e+01
0.30063099        	2.1431159046e+01
0.30204293        	2.1519222601e+01
0.30346905        	2.1663452586e+01
0.30490943        	2.1854423226e+01
0.30636278        	2.2074840479e+01
0.30782663        	2.2302267042e+01
0.30929689        	2.2514093316e+01
0.31076935        	2.2693131834e+01
0.31223985        	2.2830930385e+01
0.3137055         	2.2927987397e+01
0.31516501        	2.2991252840e+01
0.31661833        	2.3030757667e+01
0.31806642        	2.3056800277e+01
0.31951107        	2.3078149425e+01
0.32095481        	2.3101274712e+01
0.32239903        	2.3130432553e+01
0.32384635        	2.3168284560e+01
0.32529885        	2.3216375434e+01
0.32675824        	2.3275463291e+01
0.32822546        	2.3345118948e+01
0.32970043        	2.3422631710e+01
0.33118169        	2.3502422549e+01
0.33266693        	2.3577267324e+01
0.33415282        	2.3641427147e+01
0.33563585        	2.3694714822e+01
0.33711308        	2.3746008383e+01
0.33858255        	2.3814895273e+01
0.34004353        	2.3931215457e+01
0.34149576        	2.4133390190e+01
0.34293992        	2.4466835267e+01
0.344377          	2.4982235420e+01
0.34580798        	2.5732741930e+01
0.34723378        	2.6768930235e+01
0.34865469        	2.8129938097e+01
0.35007129        	2.9832723212e+01
0.35148368        	3.1859123861e+01
0.35289197        	3.4147648767e+01
0.35429617        	3.6592920665e+01
0.35569628        	3.9056757019e+01
0.35709254        	4.1390266754e+01
0.35848472        	4.3460042250e+01
0.35987375        	4.5174885665e+01
0.36125944        	4.6496574183e+01
0.36264265        	4.7442460446e+01
0.3640237         	4.8071260146e+01
0.36540261        	4.8464220729e+01
0.36678085        	4.8705150255e+01
0.36815639        	4.8863727559e+01
0.36953085        	4.8987929605e+01
0.37090301        	4.9101924240e+01
0.37227195        	4.9210917062e+01
0.37363665        	4.9308269046e+01
0.37499659        	4.9382626392e+01
0.3763499         	4.9423076153e+01
0.37769552        	4.9422289286e+01
0.37903244        	4.9377687649e+01
0.38036046        	4.9291535649e+01
0.38167933        	4.9170410791e+01
0.38298974        	4.9024059399e+01
0.38429163        	4.8864104211e+01
0.3855876         	4.8701993855e+01
0.38688019        	4.8547839925e+01
0.38816732        	4.8409834259e+01
0.38945348        	4.8292414398e+01
0.39073964        	4.8197414189e+01
0.39203063        	4.8123902833e+01
0.39332647        	4.8069447065e+01
0.3946223         	4.8030558519e+01
0.39591813        	4.8003016698e+01
0.39721396        	4.7982632927e+01
0.39850979        	4.7965479677e+01
0.39980563        	4.7948028334e+01
0.40110868        	4.7927111847e+01
0.40241151        	4.7900356738e+01
0.40371181        	4.7866202667e+01
0.4050091         	4.7824239029e+01
0.40630302        	4.7775402592e+01
0.40759365        	4.7721829670e+01
0.4088815         	4.7666390133e+01
0.41016721        	4.7611915115e+01
0.41145186        	4.7560071442e+01
0.4127368         	4.7510016162e+01
0.41402321        	4.7457036362e+01
0.41531232        	4.7391363031e+01
0.41660517        	4.7297423734e+01
0.41790246        	4.7153722238e+01
0.41920468        	4.6933303298e+01
0.42051206        	4.6604848773e+01
0.42182446        	4.6134489564e+01
0.42314173        	4.5488181915e+01
0.42446358        	4.4635110651e+01
0.42578967        	4.3552034863e+01
0.42711985        	4.2227792583e+01
0.42845381        	4.0668209820e+01
0.42979157        	3.8898871902e+01
0.43113298        	3.6966963425e+01
0.43247811        	3.4938895086e+01
0.43382701        	3.2895551508e+01
0.43517936        	3.0924521143e+01
0.43653531        	2.9108674340e+01
0.43789453        	2.7516601544e+01
0.43925695        	2.6192044961e+01
0.44062213        	2.5148993530e+01
