# Region type :   patch outlet
# Faces           : 387
# Area            : 8.2961617386e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.0022201342      	0.0000000000e+00
0.0092362185      	0.0000000000e+00
0.01329353        	0.0000000000e+00
0.017032701       	0.0000000000e+00
0.020824973       	0.0000000000e+00
0.02425977        	0.0000000000e+00
0.02755924        	0.0000000000e+00
0.030546514       	0.0000000000e+00
0.03329083        	0.0000000000e+00
0.035986112       	0.0000000000e+00
0.038646928       	0.0000000000e+00
0.041237274       	1.6092507478e-314
0.043779756       	3.8728713247e-305
0.046250846       	1.4802933449e-297
0.048613841       	8.2054246395e-291
0.050901729       	3.0913628388e-284
0.053161592       	8.7293613290e-278
0.055398989       	1.4271639170e-271
0.057607046       	1.1679403446e-265
0.059791216       	4.8273491761e-260
0.061940518       	9.2612824069e-255
0.064031554       	7.2896005445e-250
0.066061852       	2.5088999769e-245
0.068047089       	4.5094106794e-241
0.069995134       	4.7137151645e-237
0.071910281       	3.0862372796e-233
0.07380231        	1.3868898823e-229
0.075680105       	4.6142373642e-226
0.077539503       	1.1506029742e-222
0.079373814       	2.1847876871e-219
0.081183256       	3.3402541401e-216
0.08297507        	4.4336903575e-213
0.084752428       	5.2738221483e-210
0.086517486       	5.6968436476e-207
0.088272663       	5.7112403130e-204
0.09001732        	5.4425987565e-201
0.091743793       	4.8858231217e-198
0.093447206       	4.0298941587e-195
0.095127409       	2.9530395119e-192
0.096781083       	1.8232007579e-189
0.09843181        	1.0265663009e-186
0.10008137        	5.2089307476e-184
0.10170691        	2.1319327872e-181
0.10332816        	7.6113008057e-179
0.10494243        	2.3287123532e-176
0.10654737        	6.0098549261e-174
0.10814182        	1.2872945893e-171
0.10972515        	2.2410628764e-169
0.11129903        	3.1029584658e-167
0.11286693        	3.3196323942e-165
0.11443111        	2.6246667025e-163
0.11599079        	1.4516015552e-161
0.11754478        	5.3770784529e-160
0.11909147        	1.3075173046e-158
0.12062904        	2.1100263266e-157
0.12215766        	2.3669216938e-156
0.12367987        	1.9882213089e-155
0.12519791        	1.3643523897e-154
0.12671249        	8.3233362357e-154
0.12822341        	4.8326258007e-153
0.12972916        	2.7807659193e-152
0.13122777        	1.6061685130e-151
0.13271891        	9.2809648295e-151
0.13420429        	5.3261916669e-150
0.13568575        	3.0178782146e-149
0.13716482        	1.6831031414e-148
0.13864155        	9.2152225669e-148
0.14011517        	4.9426580321e-147
0.14158463        	2.5939934268e-146
0.14305087        	1.3353401658e-145
0.14451581        	6.7727868710e-145
0.1459823         	3.4048524955e-144
0.14745128        	1.7031563326e-143
0.14892118        	8.4827137776e-143
0.15039107        	4.2105952762e-142
0.15185867        	2.0803761941e-141
0.15332347        	1.0235275915e-140
0.1547861         	5.0216320174e-140
0.15624577        	2.4560100350e-139
0.15770034        	1.1946441988e-138
0.15914792        	5.7642497125e-138
0.16058786        	2.7545515035e-137
0.16202099        	1.3039921835e-136
0.16344833        	6.1207290401e-136
0.16486832        	2.8438653450e-135
0.16627873        	1.3047510002e-134
0.16767759        	5.8956050061e-134
0.16906414        	2.6193593568e-133
0.1704376         	1.1419678463e-132
0.17179527        	4.8645563645e-132
0.17313264        	2.0123617828e-131
0.1744445         	8.0329229887e-131
0.17572672        	3.0803329887e-130
