# Region type :   patch branch_inlet
# Faces           : 80
# Area            : 5.2524867279e-03
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.0022201342      	-3.6342736345e-01
0.0092362185      	-3.6422259969e-01
0.01329353        	-3.6664095689e-01
0.017032701       	-3.6711527496e-01
0.020824973       	-3.7101166204e-01
0.02425977        	-3.7295014049e-01
0.02755924        	-3.7321543750e-01
0.030546514       	-3.7437144450e-01
0.03329083        	-3.7508169273e-01
0.035986112       	-3.7609391509e-01
0.038646928       	-3.7801590951e-01
0.041237274       	-3.7951066468e-01
0.043779756       	-3.8006991143e-01
0.046250846       	-3.8061912722e-01
0.048613841       	-3.8128247938e-01
0.050901729       	-3.8184932570e-01
0.053161592       	-3.8267864293e-01
0.055398989       	-3.8391488738e-01
0.057607046       	-3.8503092430e-01
0.059791216       	-3.8570699778e-01
0.061940518       	-3.8621924338e-01
0.064031554       	-3.8672956310e-01
0.066061852       	-3.8716996157e-01
0.068047089       	-3.8767409741e-01
0.069995134       	-3.8842089976e-01
0.071910281       	-3.8928286488e-01
0.07380231        	-3.8999402599e-01
0.075680105       	-3.9051971378e-01
0.077539503       	-3.9096968209e-01
0.079373814       	-3.9135106013e-01
0.081183256       	-3.9167318803e-01
0.08297507        	-3.9207798915e-01
0.084752428       	-3.9266429114e-01
0.086517486       	-3.9332676230e-01
0.088272663       	-3.9392362227e-01
0.09001732        	-3.9444368819e-01
0.091743793       	-3.9489316433e-01
0.093447206       	-3.9523009659e-01
0.095127409       	-3.9549736158e-01
0.096781083       	-3.9582507103e-01
0.09843181        	-3.9626637431e-01
0.10008137        	-3.9675276190e-01
0.10170691        	-3.9723169418e-01
0.10332816        	-3.9770528421e-01
0.10494243        	-3.9811687780e-01
0.10654737        	-3.9842009655e-01
0.10814182        	-3.9868291577e-01
0.10972515        	-3.9899655884e-01
0.11129903        	-3.9936270641e-01
0.11286693        	-3.9976085909e-01
0.11443111        	-4.0020135426e-01
0.11599079        	-4.0063858908e-01
0.11754478        	-4.0098941647e-01
0.11909147        	-4.0126546312e-01
0.12062904        	-4.0153837627e-01
0.12215766        	-4.0182874018e-01
0.12367987        	-4.0214691277e-01
0.12519791        	-4.0252600692e-01
0.12671249        	-4.0293229647e-01
0.12822341        	-4.0328075907e-01
0.12972916        	-4.0356200252e-01
0.13122777        	-4.0382018548e-01
0.13271891        	-4.0407220651e-01
0.13420429        	-4.0434844632e-01
0.13568575        	-4.0468888366e-01
0.13716482        	-4.0505702857e-01
0.13864155        	-4.0537940758e-01
0.14011517        	-4.0564753627e-01
0.14158463        	-4.0589215110e-01
0.14305087        	-4.0613792726e-01
0.14451581        	-4.0642442809e-01
0.1459823         	-4.0676940176e-01
0.14745128        	-4.0711805533e-01
0.14892118        	-4.0741161564e-01
0.15039107        	-4.0766194856e-01
0.15185867        	-4.0791522631e-01
0.15332347        	-4.0820689887e-01
0.1547861         	-4.0854551152e-01
0.15624577        	-4.0888684752e-01
0.15770034        	-4.0916957744e-01
0.15914792        	-4.0939983821e-01
0.16058786        	-4.0964506382e-01
0.16202099        	-4.0994416349e-01
0.16344833        	-4.1026948003e-01
0.16486832        	-4.1056068696e-01
0.16627873        	-4.1078816845e-01
0.16767759        	-4.1099264662e-01
0.16906414        	-4.1124057107e-01
0.1704376         	-4.1153214116e-01
0.17179527        	-4.1179931564e-01
0.17313264        	-4.1199645392e-01
0.1744445         	-4.1215026252e-01
0.17572672        	-4.1231711091e-01
0.17697529        	-4.1251507645e-01
0.17818528        	-4.1270265559e-01
0.17935189        	-4.1282717065e-01
0.18047           	-4.1288261371e-01
0.18153739        	-4.1290343921e-01
0.18255379        	-4.1292098540e-01
0.18352157        	-4.1293935781e-01
0.18444449        	-4.1293970534e-01
0.18532572        	-4.1289915848e-01
0.1861697         	-4.1280685237e-01
0.1869803         	-4.1266892710e-01
0.18776184        	-4.1250312352e-01
0.18851838        	-4.1232697509e-01
0.18925339        	-4.1215036722e-01
0.18997039        	-4.1197771633e-01
0.19067224        	-4.1180502440e-01
0.19136102        	-4.1162379934e-01
0.19203886        	-4.1142693740e-01
0.1927069         	-4.1121087649e-01
0.19336635        	-4.1097640501e-01
0.19401838        	-4.1072987321e-01
0.19466355        	-4.1047926282e-01
0.19530352        	-4.1023138365e-01
0.19593856        	-4.0999041087e-01
0.19656932        	-4.0975634125e-01
0.1971988         	-4.0952534857e-01
0.19782213        	-4.0929461116e-01
0.19844438        	-4.0905691542e-01
0.19906663        	-4.0880752024e-01
0.19968888        	-4.0854550636e-01
0.200308          	-4.0827500957e-01
0.20092287        	-4.0800145098e-01
0.20153648        	-4.0772885217e-01
0.20214908        	-4.0746159360e-01
0.202761          	-4.0720159108e-01
0.20337249        	-4.0694779333e-01
0.20398386        	-4.0669712433e-01
0.20459523        	-4.0644512881e-01
0.20520661        	-4.0618790304e-01
0.20581815        	-4.0592240527e-01
0.20642987        	-4.0564847330e-01
0.20704186        	-4.0536872035e-01
0.20765417        	-4.0508743016e-01
0.20826693        	-4.0480891950e-01
0.20888028        	-4.0453617377e-01
0.20949437        	-4.0427020629e-01
0.21010934        	-4.0400972643e-01
0.21072529        	-4.0375157018e-01
0.21134229        	-4.0349176281e-01
0.21196045        	-4.0322696676e-01
0.2125799         	-4.0295537293e-01
0.21320061        	-4.0267750731e-01
0.21382244        	-4.0239612256e-01
0.21444534        	-4.0211544558e-01
0.21506938        	-4.0183929721e-01
0.21569458        	-4.0156957729e-01
0.21632102        	-4.0130579638e-01
0.21694873        	-4.0104582212e-01
0.21757776        	-4.0078645473e-01
0.21820802        	-4.0052429274e-01
0.21883945        	-4.0025715812e-01
0.21947196        	-3.9998451844e-01
0.22010543        	-3.9970780989e-01
0.2207398         	-3.9943018250e-01
0.22137503        	-3.9915530135e-01
0.2220111         	-3.9888578896e-01
0.22264803        	-3.9862192998e-01
0.22328582        	-3.9836213532e-01
0.2239244         	-3.9810370603e-01
0.22456373        	-3.9784368705e-01
0.22520378        	-3.9757969819e-01
0.22584445        	-3.9731078803e-01
0.2264857         	-3.9703775698e-01
0.22712754        	-3.9676295574e-01
0.22777002        	-3.9648950850e-01
0.22841323        	-3.9622012085e-01
0.22905731        	-3.9595583008e-01
0.22970244        	-3.9569571626e-01
0.23034874        	-3.9543753246e-01
0.23099633        	-3.9517874988e-01
0.23164529        	-3.9491741161e-01
0.23229574        	-3.9465265017e-01
0.23294777        	-3.9438491579e-01
0.23360143        	-3.9411621325e-01
0.2342569         	-3.9384927865e-01
0.23491425        	-3.9358684794e-01
0.2355736         	-3.9332973664e-01
0.23623507        	-3.9307734596e-01
0.2368987         	-3.9282766705e-01
0.23756454        	-3.9257815276e-01
0.23823254        	-3.9232682315e-01
0.23890264        	-3.9207297917e-01
0.23957474        	-3.9181723278e-01
0.24024885        	-3.9156123925e-01
0.24092487        	-3.9130744248e-01
0.24160283        	-3.9105789732e-01
0.24228276        	-3.9081301654e-01
0.24296466        	-3.9057214159e-01
0.24364845        	-3.9033310191e-01
0.24433408        	-3.9009379125e-01
0.24502145        	-3.8985223138e-01
0.24571045        	-3.8960833843e-01
0.24640096        	-3.8936306927e-01
0.2470929         	-3.8911817838e-01
0.24778622        	-3.8887563392e-01
0.24848086        	-3.8863705229e-01
0.24917683        	-3.8840213496e-01
0.24987407        	-3.8816939860e-01
0.25057264        	-3.8793672078e-01
0.25127243        	-3.8770257903e-01
0.25197345        	-3.8746597620e-01
0.25267567        	-3.8722749609e-01
0.25337917        	-3.8698876630e-01
0.254084          	-3.8675165770e-01
0.2547903         	-3.8651759870e-01
0.25549822        	-3.8628730176e-01
0.2562079         	-3.8606013092e-01
0.25691957        	-3.8583441360e-01
0.25763324        	-3.8560866172e-01
0.25834914        	-3.8538202340e-01
0.25906727        	-3.8515467955e-01
0.2597877         	-3.8492786356e-01
0.26051056        	-3.8470330456e-01
0.26123591        	-3.8448240221e-01
0.26196382        	-3.8426577843e-01
