# Region type :   patch main_inlet
# Faces           : 348
# Area            : 8.2964479394e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.0022270965      	6.9448874526e+06
0.0096097579      	6.9455213173e+06
0.013010141       	6.9457328947e+06
0.015529156       	6.9470597066e+06
0.018148069       	6.9489363486e+06
0.020857049       	6.9501575704e+06
0.02347722        	6.9521032282e+06
0.026041769       	6.9544568008e+06
0.028605501       	6.9551672498e+06
0.031064934       	6.9544867766e+06
0.033272514       	6.9541864449e+06
0.035314692       	6.9542193590e+06
0.037336227       	6.9541442533e+06
0.039372081       	6.9540392912e+06
0.041394097       	6.9541707595e+06
0.043402323       	6.9548321357e+06
0.045418211       	6.9559480038e+06
0.047440984       	6.9568546409e+06
0.049404863       	6.9570753918e+06
0.051270606       	6.9569979713e+06
0.053080282       	6.9570127401e+06
0.05487189        	6.9570706477e+06
0.056648489       	6.9570475834e+06
0.058411791       	6.9569848583e+06
0.060178796       	6.9571022180e+06
0.061961981       	6.9575810396e+06
0.063737396       	6.9581827050e+06
0.06546678        	6.9584597381e+06
0.067149859       	6.9583165401e+06
0.068799377       	6.9578536048e+06
0.070418288       	6.9569657569e+06
0.07201351        	6.9552978787e+06
0.073605298       	6.9523240150e+06
0.075207256       	6.9473465673e+06
0.076810873       	6.9395734165e+06
0.078401693       	6.9284606511e+06
0.079973704       	6.9143768860e+06
0.081525887       	6.8990209301e+06
0.08305684        	6.8849133989e+06
0.084573195       	6.8742086405e+06
0.086091001       	6.8678926744e+06
0.08761111        	6.8655702936e+06
0.08913122        	6.8656122573e+06
0.090640976       	6.8661803972e+06
0.092133166       	6.8662805782e+06
0.093607826       	6.8658787975e+06
0.095066271       	6.8652292561e+06
0.096517367       	6.8643484091e+06
0.097968464       	6.8631033317e+06
0.099419561       	6.8615546043e+06
0.10086877        	6.8599770720e+06
0.10230429        	6.8586054202e+06
0.10372716        	6.8575001492e+06
0.10514173        	6.8566669443e+06
0.1065501         	6.8561244335e+06
0.1079494         	6.8558654328e+06
0.1093265         	6.8558466158e+06
0.11066394        	6.8560388980e+06
0.11195448        	6.8564144960e+06
0.11319772        	6.8568783472e+06
0.11438549        	6.8572842556e+06
0.11550788        	6.8575345258e+06
0.11655434        	6.8576256350e+06
0.11751382        	6.8576112206e+06
0.11839213        	6.8575481305e+06
0.11920705        	6.8574737240e+06
0.11997595        	6.8574117424e+06
0.12071176        	6.8573804040e+06
0.12142366        	6.8573944088e+06
0.12211744        	6.8574636608e+06
0.12279585        	6.8575926555e+06
0.12345995        	6.8577831618e+06
0.12411069        	6.8580396832e+06
0.12474941        	6.8583740787e+06
0.12537756        	6.8588056204e+06
0.12599666        	6.8593551850e+06
0.12660865        	6.8600353592e+06
0.12721581        	6.8608426561e+06
0.12782027        	6.8617606713e+06
0.1284235         	6.8627749149e+06
0.1290265         	6.8638810672e+06
0.12962963        	6.8650668005e+06
0.1302331         	6.8662859730e+06
0.13083662        	6.8674600076e+06
0.13143976        	6.8685110505e+06
0.13204176        	6.8693908792e+06
0.13264225        	6.8700888313e+06
0.13324123        	6.8706217127e+06
0.13383893        	6.8710179926e+06
0.13443587        	6.8713076615e+06
0.13503282        	6.8715223292e+06
0.13563073        	6.8716952588e+06
0.13623037        	6.8718531535e+06
0.13683211        	6.8720080197e+06
0.13743596        	6.8721575435e+06
0.13804175        	6.8722910591e+06
0.13864917        	6.8723938457e+06
0.13925774        	6.8724490448e+06
0.13986691        	6.8724410965e+06
0.14047644        	6.8723619394e+06
0.14108623        	6.8722171833e+06
0.14169673        	6.8720274748e+06
0.14230845        	6.8718223785e+06
0.14292208        	6.8716307558e+06
0.1435384         	6.8714762363e+06
0.14415801        	6.8713787301e+06
0.14478124        	6.8713536421e+06
0.14540791        	6.8714065241e+06
0.14603771        	6.8715315856e+06
0.14667028        	6.8717185173e+06
0.14730514        	6.8719609392e+06
0.14794187        	6.8722613414e+06
0.14858019        	6.8726348727e+06
0.1492202         	6.8731125862e+06
0.14986238        	6.8737396485e+06
0.15050729        	6.8745679646e+06
0.15115545        	6.8756493667e+06
0.15180719        	6.8770324759e+06
0.15246262        	6.8787610767e+06
0.15312143        	6.8808710729e+06
0.15378298        	6.8833877241e+06
0.15444654        	6.8863264501e+06
0.15511149        	6.8896971784e+06
0.15577729        	6.8935044869e+06
0.15644368        	6.8977437924e+06
0.15711093        	6.9023977776e+06
0.15777953        	6.9074282579e+06
0.15845013        	6.9127686275e+06
0.1591232         	6.9183161281e+06
0.159799          	6.9239327936e+06
0.16047756        	6.9294551785e+06
0.16115846        	6.9347052005e+06
0.16184106        	6.9395097505e+06
0.16252471        	6.9437235384e+06
0.163209          	6.9472503005e+06
0.16389358        	6.9500502537e+06
0.16457878        	6.9521412809e+06
0.16526494        	6.9535873214e+06
0.16595274        	6.9544874387e+06
0.16664276        	6.9549597651e+06
0.16733523        	6.9551264898e+06
0.1680302         	6.9551016126e+06
0.1687274         	6.9549806171e+06
0.16942615        	6.9548331297e+06
0.17012595        	6.9547013566e+06
0.17082639        	6.9546061819e+06
0.17152727        	6.9545559182e+06
0.17222865        	6.9545522251e+06
0.17293106        	6.9545933764e+06
0.17363485        	6.9546765573e+06
0.17434051        	6.9547981854e+06
0.17504818        	6.9549514079e+06
0.1757576         	6.9551228553e+06
0.17646837        	6.9552904022e+06
0.17717989        	6.9554223350e+06
0.17789168        	6.9554797687e+06
0.17860256        	6.9554238718e+06
0.17931344        	6.9552249111e+06
0.18002369        	6.9548684756e+06
0.18073416        	6.9543555486e+06
0.18144508        	6.9537011365e+06
0.18215703        	6.9529309992e+06
0.18287012        	6.9520790554e+06
0.18358402        	6.9511835883e+06
0.18429932        	6.9502818309e+06
0.18501461        	6.9494092113e+06
0.1857299         	6.9485891940e+06
0.18644519        	6.9478306344e+06
0.18716049        	6.9471282262e+06
0.18787578        	6.9464666575e+06
0.18859107        	6.9458266942e+06
0.18930786        	6.9451902723e+06
0.19002546        	6.9445489411e+06
0.19074426        	6.9439036306e+06
0.19146455        	6.9432662404e+06
0.19218484        	6.9426586004e+06
0.19290514        	6.9421037539e+06
0.19362543        	6.9416202952e+06
0.19434572        	6.9412173029e+06
0.19506601        	6.9408926480e+06
0.1957863         	6.9406341664e+06
0.19650659        	6.9404225132e+06
0.19722688        	6.9402352038e+06
0.19794717        	6.9400510492e+06
0.19866746        	6.9398530995e+06
0.19938775        	6.9396289841e+06
0.20010846        	6.9393692946e+06
0.20083175        	6.9390646525e+06
0.20155508        	6.9387059868e+06
0.20227846        	6.9382799249e+06
0.20300213        	6.9377695990e+06
0.20372631        	6.9371571247e+06
0.20445132        	6.9364273224e+06
0.2051773         	6.9355727964e+06
0.20590438        	6.9345986973e+06
0.20663249        	6.9335259567e+06
0.20736141        	6.9323914988e+06
0.20809096        	6.9312444669e+06
0.20882092        	6.9301412423e+06
0.20955129        	6.9291359209e+06
0.21028204        	6.9282713288e+06
0.21101338        	6.9275705438e+06
0.21174546        	6.9270335460e+06
0.21247843        	6.9266397672e+06
0.21321233        	6.9263566107e+06
0.21394707        	6.9261503263e+06
0.21468243        	6.9259952474e+06
0.21541815        	6.9258781871e+06
0.21615395        	6.9257975917e+06
0.21688944        	6.9257592709e+06
0.21762465        	6.9257704427e+06
0.21835946        	6.9258336721e+06
0.2190939         	6.9259424382e+06
0.21982799        	6.9260799521e+06
0.22056166        	6.9262215682e+06
0.22129477        	6.9263398154e+06
0.22202712        	6.9264098993e+06
0.22275845        	6.9264132945e+06
0.22348854        	6.9263382411e+06
0.22421725        	6.9261771805e+06
0.22494458        	6.9259222447e+06
0.22567063        	6.9255603240e+06
0.22639563        	6.9250691834e+06
0.22711985        	6.9244159480e+06
0.22784352        	6.9235584015e+06
0.22856689        	6.9224484094e+06
0.22929026        	6.9210365699e+06
0.23001364        	6.9192775024e+06
0.23073703        	6.9171332366e+06
0.23146078        	6.9145741326e+06
0.23218487        	6.9115825430e+06
0.23290955        	6.9081518121e+06
0.23363493        	6.9042896817e+06
0.23436115        	6.9000209400e+06
0.23508837        	6.8953908883e+06
0.23581657        	6.8904702919e+06
0.23654581        	6.8853552510e+06
0.2372759         	6.8801677276e+06
0.23800674        	6.8750477611e+06
0.23873814        	6.8701442170e+06
0.23947004        	6.8656000762e+06
0.24020236        	6.8615394484e+06
0.24093502        	6.8580548605e+06
0.24166802        	6.8551975924e+06
0.24240136        	6.8529739235e+06
0.2431351         	6.8513474382e+06
0.24386913        	6.8502470360e+06
0.24460335        	6.8495782331e+06
0.24533756        	6.8492365503e+06
0.24607178        	6.8491200757e+06
0.2468055         	6.8491394203e+06
0.24753919        	6.8492234380e+06
0.24827239        	6.8493210370e+06
0.2490056         	6.8494000476e+06
0.2497387         	6.8494438596e+06
0.25047137        	6.8494477458e+06
0.25120458        	6.8494155995e+06
0.2519378         	6.8493578622e+06
0.25267101        	6.8492904335e+06
0.25340479        	6.8492339079e+06
0.25413887        	6.8492128605e+06
0.25487347        	6.8492542308e+06
0.25560876        	6.8493850626e+06
0.25634497        	6.8496295332e+06
0.25708214        	6.8500055628e+06
0.25782048        	6.8505220401e+06
0.25855999        	6.8511768863e+06
0.25930062        	6.8519570510e+06
0.26004234        	6.8528399514e+06
0.26078508        	6.8537963966e+06
0.26152874        	6.8547939349e+06
0.26227319        	6.8558007761e+06
0.26301842        	6.8567896452e+06
0.26376443        	6.8577403557e+06
0.26451125        	6.8586409209e+06
0.26525894        	6.8594869731e+06
0.26600751        	6.8602794215e+06
0.26675707        	6.8610210422e+06
0.26750765        	6.8617130790e+06
0.26825923        	6.8623533051e+06
0.26901178        	6.8629355852e+06
0.26976539        	6.8634511188e+06
0.27052013        	6.8638910544e+06
0.27127627        	6.8642500926e+06
0.27203366        	6.8645291868e+06
0.27279233        	6.8647371538e+06
0.2735526         	6.8648897268e+06
0.27431423        	6.8650070976e+06
0.27507716        	6.8651112808e+06
0.27584138        	6.8652234930e+06
0.27660675        	6.8653624978e+06
0.27737319        	6.8655442864e+06
0.27814053        	6.8657827981e+06
0.27890888        	6.8660909883e+06
0.27967829        	6.8664811730e+06
0.28044835        	6.8669639702e+06
0.28121962        	6.8675472007e+06
0.28199154        	6.8682315904e+06
0.28276443        	6.8690093372e+06
0.28353769        	6.8698606937e+06
0.28431239        	6.8707570410e+06
0.28508708        	6.8716590880e+06
0.2858623         	6.8725272732e+06
0.2866391         	6.8733262289e+06
0.2874159         	6.8740275451e+06
0.28819307        	6.8746183984e+06
0.28897241        	6.8751005370e+06
0.28975174        	6.8754842938e+06
