# Region type :   sampledSurface planeZ3p
# Faces           : 1018
# Area            : 8.2958402178e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.0022270965      	6.9000024950e+06
0.0096097579      	6.9013745958e+06
0.013010141       	6.9035130234e+06
0.015529156       	6.9115642888e+06
0.018148069       	6.9296270851e+06
0.020857049       	6.9474747611e+06
0.02347722        	6.9499301468e+06
0.026041769       	6.9481533495e+06
0.028605501       	6.9488860019e+06
0.031064934       	6.9492126650e+06
0.033272514       	6.9498717756e+06
0.035314692       	6.9508385162e+06
0.037336227       	6.9518833627e+06
0.039372081       	6.9527803110e+06
0.041394097       	6.9535664812e+06
0.043402323       	6.9542552829e+06
0.045418211       	6.9545417263e+06
0.047440984       	6.9543382340e+06
0.049404863       	6.9539185286e+06
0.051270606       	6.9535266718e+06
0.053080282       	6.9531293317e+06
0.05487189        	6.9523636858e+06
0.056648489       	6.9505926051e+06
0.058411791       	6.9471335611e+06
0.060178796       	6.9413345339e+06
0.061961981       	6.9329997277e+06
0.063737396       	6.9232710301e+06
0.06546678        	6.9145424141e+06
0.067149859       	6.9088707794e+06
0.068799377       	6.9067095428e+06
0.070418288       	6.9067671591e+06
0.07201351        	6.9073203483e+06
0.073605298       	6.9075396679e+06
0.075207256       	6.9074449401e+06
0.076810873       	6.9072364885e+06
0.078401693       	6.9069702007e+06
0.079973704       	6.9066267864e+06
0.081525887       	6.9061784392e+06
0.08305684        	6.9055990877e+06
0.084573195       	6.9049114253e+06
0.086091001       	6.9041413141e+06
0.08761111        	6.9031969994e+06
0.08913122        	6.9019004925e+06
0.090640976       	6.9001043275e+06
0.092133166       	6.8976216116e+06
0.093607826       	6.8941643613e+06
0.095066271       	6.8894908085e+06
0.096517367       	6.8836287342e+06
0.097968464       	6.8770252985e+06
0.099419561       	6.8704809778e+06
0.10086877        	6.8648950015e+06
0.10230429        	6.8609620574e+06
0.10372716        	6.8588004070e+06
0.10514173        	6.8579932635e+06
0.1065501         	6.8578705791e+06
0.1079494         	6.8578822831e+06
0.1093265         	6.8577828056e+06
0.11066394        	6.8575639645e+06
0.11195448        	6.8572922401e+06
0.11319772        	6.8569932915e+06
0.11438549        	6.8566474563e+06
0.11550788        	6.8562592892e+06
0.11655434        	6.8558994908e+06
0.11751382        	6.8556569210e+06
0.11839213        	6.8555698552e+06
0.11920705        	6.8556184751e+06
0.11997595        	6.8557633777e+06
0.12071176        	6.8560030439e+06
0.12142366        	6.8563318938e+06
0.12211744        	6.8567029169e+06
0.12279585        	6.8570680547e+06
0.12345995        	6.8573923294e+06
0.12411069        	6.8576603041e+06
0.12474941        	6.8578788652e+06
0.12537756        	6.8580600104e+06
0.12599666        	6.8582180110e+06
0.12660865        	6.8583750856e+06
0.12721581        	6.8585570350e+06
