# Region type :   patch main_inlet
# Faces           : 348
# Area            : 8.2964479394e-02
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.0022358089      	-3.3866180440e+01
0.014075595       	-3.3884021333e+01
0.021912161       	-3.3916194237e+01
0.029193799       	-3.3926621492e+01
0.035721278       	-3.3924625030e+01
0.041876577       	-3.3917226091e+01
0.047379096       	-3.3920256493e+01
0.052598689       	-3.3922189807e+01
0.057757214       	-3.3926361028e+01
0.06273718        	-3.3927435952e+01
0.067524242       	-3.3921322919e+01
0.072043677       	-3.3902644174e+01
0.07632783        	-3.3856191416e+01
0.080500844       	-3.3768256616e+01
0.084620988       	-3.3646529472e+01
0.088681048       	-3.3532398798e+01
0.092662512       	-3.3469802717e+01
0.096538581       	-3.3453678177e+01
0.10037629        	-3.3445126913e+01
0.10411678        	-3.3430335287e+01
0.10783272        	-3.3418460209e+01
0.11153974        	-3.3413281995e+01
0.11524101        	-3.3413482475e+01
0.11893577        	-3.3417998343e+01
0.12262338        	-3.3423546803e+01
0.12631677        	-3.3426498417e+01
0.13000497        	-3.3426598187e+01
0.13368892        	-3.3425187551e+01
0.13737395        	-3.3422459887e+01
0.14106986        	-3.3419069061e+01
0.14478583        	-3.3417734628e+01
0.14853668        	-3.3422821909e+01
0.15233683        	-3.3440702163e+01
0.15619154        	-3.3480062320e+01
0.16009314        	-3.3548009518e+01
0.16403213        	-3.3640532654e+01
0.16799511        	-3.3736090003e+01
0.17198656        	-3.3807699992e+01
0.17602297        	-3.3845855718e+01
0.18010924        	-3.3864077606e+01
0.18424423        	-3.3878808552e+01
0.18839048        	-3.3892062841e+01
0.19253674        	-3.3898197772e+01
0.196683          	-3.3895707738e+01
0.20081633        	-3.3888052265e+01
0.20488616        	-3.3880044994e+01
0.20893859        	-3.3874708535e+01
0.21296725        	-3.3872752388e+01
0.21697088        	-3.3873726439e+01
0.22094665        	-3.3876618997e+01
0.22488572        	-3.3878585810e+01
0.22877727        	-3.3874438418e+01
0.2326153         	-3.3858141676e+01
0.23640001        	-3.3824933018e+01
0.2401375         	-3.3773316331e+01
0.24383638        	-3.3706925456e+01
0.24750387        	-3.3634939328e+01
0.25113708        	-3.3569363518e+01
0.25472681        	-3.3519296520e+01
0.25826447        	-3.3486367421e+01
0.26173798        	-3.3465678738e+01
0.26513572        	-3.3451159585e+01
0.26844056        	-3.3440051219e+01
0.27162251        	-3.3432840938e+01
0.27464059        	-3.3430478093e+01
0.27744854        	-3.3432534374e+01
0.28002236        	-3.3437470315e+01
0.28237346        	-3.3443736724e+01
0.28451527        	-3.3450285619e+01
0.28648429        	-3.3456674870e+01
0.2883257         	-3.3462873546e+01
0.29008232        	-3.3469027224e+01
0.29177777        	-3.3475067890e+01
0.29342506        	-3.3480595130e+01
0.29504027        	-3.3485611606e+01
0.29664018        	-3.3490475036e+01
0.29824009        	-3.3495064027e+01
0.29984001        	-3.3498739140e+01
0.30148318        	-3.3501066600e+01
0.30315483        	-3.3502503264e+01
0.30485536        	-3.3504146282e+01
0.30659531        	-3.3506604889e+01
0.3083889         	-3.3510058248e+01
0.31024643        	-3.3514863920e+01
0.31217           	-3.3522212311e+01
0.31416004        	-3.3533855762e+01
0.31622522        	-3.3551048968e+01
0.31838098        	-3.3574135468e+01
0.32063567        	-3.3602945040e+01
0.32298359        	-3.3637326170e+01
0.32542376        	-3.3676362429e+01
0.32797009        	-3.3717304467e+01
0.33063432        	-3.3756378235e+01
0.33341286        	-3.3790621638e+01
0.33631542        	-3.3818330871e+01
0.33934949        	-3.3838446141e+01
0.34249927        	-3.3851568953e+01
0.34572903        	-3.3858876691e+01
0.34900455        	-3.3860267618e+01
0.35228708        	-3.3856005026e+01
0.3555509         	-3.3847631727e+01
0.35878855        	-3.3836697138e+01
0.36199464        	-3.3824546432e+01
0.365168          	-3.3812758627e+01
0.36831279        	-3.3802225773e+01
0.37143046        	-3.3793083667e+01
0.37452698        	-3.3785882912e+01
0.37759734        	-3.3781322302e+01
0.38063531        	-3.3779316357e+01
0.3836296         	-3.3778855546e+01
0.38657219        	-3.3777851972e+01
0.38946078        	-3.3773617774e+01
0.39229314        	-3.3763984816e+01
0.39509563        	-3.3747609007e+01
0.39782594        	-3.3724636770e+01
0.400542          	-3.3695550613e+01
0.40324092        	-3.3662088252e+01
0.40592191        	-3.3626549955e+01
0.40858751        	-3.3591450102e+01
0.41123843        	-3.3559210919e+01
0.41387458        	-3.3531641291e+01
0.4164973         	-3.3509545842e+01
0.41911082        	-3.3492905081e+01
0.42172078        	-3.3481263544e+01
0.42433537        	-3.3474010404e+01
0.42696318        	-3.3470670574e+01
0.42961201        	-3.3470935574e+01
0.43228833        	-3.3474462169e+01
0.43499652        	-3.3480659189e+01
0.437739          	-3.3488678628e+01
0.44051633        	-3.3497548714e+01
0.44332909        	-3.3506316619e+01
0.44617467        	-3.3514168793e+01
0.44905062        	-3.3520550240e+01
