# Region type :   sampledSurface planeZ3
# Faces           : 1018
# Area            : 8.2958402176e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.0022358089      	0.0000000000e+00
0.014075595       	0.0000000000e+00
0.021912161       	6.6154111563e-250
0.029193799       	3.3666184307e-170
0.035721278       	2.5958784626e-148
0.041876577       	3.9698741646e-135
0.047379096       	5.0549747854e-126
0.052598689       	2.9920363735e-118
0.057757214       	4.1028789605e-111
0.06273718        	1.1769322073e-104
0.067524242       	1.6656114854e-98
0.072043677       	2.0379832952e-92
0.07632783        	1.7677605763e-86
0.080500844       	3.5222304120e-81
0.084620988       	1.5779404007e-76
0.088681048       	2.2188500027e-72
0.092662512       	1.2817846202e-68
0.096538581       	3.0434362351e-65
0.10037629        	3.3144834797e-62
0.10411678        	1.6019431995e-59
0.10783272        	4.6009564429e-57
0.11153974        	9.8498398632e-55
0.11524101        	1.8190799342e-52
0.11893577        	2.8372144478e-50
0.12262338        	3.4639292743e-48
0.12631677        	3.2968491084e-46
0.13000497        	2.4233681872e-44
0.13368892        	1.3598909346e-42
0.13737395        	5.5761533020e-41
0.14106986        	1.5872399150e-39
0.14478583        	3.1570185734e-38
0.14853668        	4.6971652404e-37
0.15233683        	5.6779620307e-36
0.15619154        	6.0157588505e-35
0.16009314        	5.9343227820e-34
0.16403213        	5.7264490071e-33
0.16799511        	5.6879067594e-32
0.17198656        	6.3662398981e-31
0.17602297        	9.2935580337e-30
0.18010924        	2.0984822882e-28
0.18424423        	7.8656324977e-27
0.18839048        	3.8268856159e-25
0.19253674        	1.6352121559e-23
0.196683          	4.8851591663e-22
0.20081633        	9.8816651579e-21
0.20488616        	1.4131286777e-19
0.20893859        	1.6224431918e-18
0.21296725        	1.6072931201e-17
0.21697088        	1.4168486316e-16
0.22094665        	1.1040223273e-15
0.22488572        	7.4497383781e-15
0.22877727        	4.2770626462e-14
0.2326153         	2.0778777321e-13
0.23640001        	8.6444344683e-13
0.2401375         	3.1580785135e-12
0.24383638        	1.0401801998e-11
0.24750387        	3.1513991509e-11
0.25113708        	8.8935076539e-11
0.25472681        	2.3572720094e-10
0.25826447        	5.9043361881e-10
