# Region type :   sampledSurface planeZ4
# Faces           : 966
# Area            : 8.2959467463e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.0020502426      	0.0000000000e+00
0.0077284894      	0.0000000000e+00
0.013399503       	1.0264880788e-268
0.018699284       	1.8138300405e-192
0.024384649       	2.3678621924e-153
0.030070014       	6.3040933601e-133
0.035755378       	4.4504428616e-120
0.041440743       	3.7971731238e-109
0.047126108       	3.1156758655e-99
0.052811473       	1.8334372981e-90
0.058496837       	1.2860730379e-82
0.064182202       	1.9418362213e-75
0.069867567       	3.6503058254e-69
0.075552932       	9.4546726155e-64
0.081238296       	5.6999082183e-59
0.086923661       	7.4525180704e-55
0.092609026       	1.2120821123e-50
0.098114853       	5.5314332660e-46
0.10369318        	4.7250508110e-42
0.109375          	6.2979865226e-39
0.11505682        	2.2902262869e-36
0.12073864        	4.1132720463e-34
0.12642045        	4.2943542103e-32
0.13210227        	2.4649249362e-30
0.13778409        	7.7572807078e-29
0.14346591        	1.3478589687e-27
0.14914773        	1.4394446331e-26
0.15482955        	1.1964138033e-25
0.16051136        	8.6987200459e-25
0.16619318        	5.7677099470e-24
0.171875          	3.8036450127e-23
0.17755682        	2.8440635636e-22
0.18323864        	2.7724800927e-21
0.18892045        	3.7882655829e-20
0.19460227        	6.6646569209e-19
0.20028409        	1.2174037090e-17
0.20596591        	1.9628721903e-16
0.21164773        	2.7606770144e-15
0.21732955        	3.5932086661e-14
0.22301136        	4.3143080527e-13
0.22869318        	5.1198502336e-12
0.234375          	6.5067988312e-11
0.24005682        	8.3361083421e-10
0.24573864        	9.1672041295e-09
0.25142045        	7.8547461986e-08
0.25710227        	5.0028736043e-07
0.26278409        	2.3680200024e-06
0.26846591        	8.3665785582e-06
0.27414773        	2.3142145345e-05
0.27982955        	5.3103717790e-05
0.28551136        	1.0610288646e-04
0.29119318        	1.8984042194e-04
0.296875          	3.0805207024e-04
0.30255682        	4.5748489066e-04
0.30823864        	6.3090385730e-04
0.31392045        	8.2441088604e-04
0.31960227        	1.0395649207e-03
0.32528409        	1.2815593732e-03
0.33096591        	1.5590111382e-03
0.33664773        	1.8893842208e-03
0.34232955        	2.3035706431e-03
0.34801136        	2.8410766615e-03
0.35369318        	3.5432890757e-03
0.359375          	4.4340483010e-03
0.36505682        	5.4958924421e-03
0.37073864        	6.6745556381e-03
0.37642045        	7.8996870450e-03
0.38210227        	9.0579150503e-03
0.38778409        	9.9596931261e-03
0.39346591        	1.0375330516e-02
0.39914773        	1.0196496875e-02
0.40482955        	9.5523238855e-03
0.41051136        	8.7346559218e-03
0.41619318        	8.0839813141e-03
0.421875          	7.7982078034e-03
0.42755682        	7.8278207320e-03
0.43323864        	7.9689004827e-03
0.43892045        	8.0443965625e-03
0.44460227        	7.9940272704e-03
0.45028409        	7.8500347459e-03
0.45596591        	7.6858585691e-03
0.46164773        	7.5740307806e-03
0.46732955        	7.5549591590e-03
0.47301136        	7.6310273423e-03
0.47869318        	7.7876854175e-03
0.484375          	8.0163450846e-03
0.49005682        	8.3253798550e-03
0.49573864        	8.7474017220e-03
0.50142045        	9.3498173385e-03
0.50710227        	1.0244784889e-02
0.51278409        	1.1599529500e-02
0.51846591        	1.3617495626e-02
0.52414773        	1.6378582781e-02
0.52982955        	1.9508911915e-02
0.53551136        	2.2042583263e-02
0.54119318        	2.2839826383e-02
0.546875          	2.1367979105e-02
0.55255682        	1.8174101500e-02
0.55823864        	1.4573260134e-02
0.56392045        	1.1580308488e-02
0.56960227        	9.5040899450e-03
0.57528409        	8.2997284415e-03
0.58096591        	7.7599436973e-03
0.58664773        	7.6152093510e-03
0.59232955        	7.6115458808e-03
0.59801136        	7.5815899509e-03
0.60369318        	7.4671839250e-03
0.609375          	7.2890597152e-03
0.61505682        	7.1027647264e-03
0.62073864        	6.9654038112e-03
0.62642045        	6.9138627919e-03
0.63210227        	6.9587603780e-03
0.63778409        	7.0944686926e-03
0.64346591        	7.3141814488e-03
0.64914773        	7.6218002950e-03
0.65482955        	8.0398600053e-03
0.66051136        	8.6157210784e-03
0.66619318        	9.4253040355e-03
0.671875          	1.0576653795e-02
0.67755682        	1.2202682605e-02
0.68323864        	1.4389539264e-02
0.68892045        	1.6980608878e-02
0.69460227        	1.9390099343e-02
0.70028409        	2.0727674200e-02
0.70596591        	2.0344312357e-02
0.71164773        	1.8337459026e-02
0.71732955        	1.5513597004e-02
0.72301136        	1.2750239482e-02
0.72869318        	1.0515053727e-02
0.734375          	8.9568628995e-03
0.74005682        	8.0271348213e-03
0.74573864        	7.5745260473e-03
0.75142045        	7.4153819988e-03
0.75710227        	7.3875978661e-03
0.76278409        	7.3838555920e-03
0.76846591        	7.3594588921e-03
0.77414773        	7.3186876660e-03
0.77982955        	7.2915530279e-03
0.78551136        	7.3096014856e-03
0.79119318        	7.3930970701e-03
0.796875          	7.5506908963e-03
0.80255682        	7.7870635960e-03
0.80823864        	8.1120963968e-03
0.81392045        	8.5480303729e-03
0.81960227        	9.1341014834e-03
0.82528409        	9.9289540586e-03
0.83096591        	1.1011898921e-02
0.83664773        	1.2470969346e-02
0.84232955        	1.4339534822e-02
0.84801136        	1.6457958791e-02
0.85369318        	1.8372440943e-02
0.859375          	1.9453156553e-02
0.86505682        	1.9245088430e-02
0.87073864        	1.7770494432e-02
0.87642045        	1.5542138415e-02
0.88210227        	1.3190324372e-02
0.88778409        	1.1133768763e-02
0.89346591        	9.5665980990e-03
0.89914773        	8.5082805277e-03
0.90482955        	7.8737600760e-03
0.91051136        	7.5366727921e-03
0.91619318        	7.3753183528e-03
0.921875          	7.2986031944e-03
0.92755682        	7.2556878269e-03
0.93323864        	7.2325141313e-03
0.93892045        	7.2392134052e-03
0.94460227        	7.2934329287e-03
0.95028409        	7.4101080859e-03
0.95596591        	7.5988303858e-03
0.96164773        	7.8677615943e-03
0.96732955        	8.2300669228e-03
0.97301136        	8.7095499338e-03
0.97869318        	9.3439530073e-03
0.984375          	1.0186127265e-02
0.99005682        	1.1302821753e-02
0.99573864        	1.2759157744e-02
1.0014205         	1.4557086070e-02
1.0071023         	1.6521106695e-02
1.0127841         	1.8228954299e-02
1.0184659         	1.9135607313e-02
1.0241477         	1.8875692618e-02
1.0298295         	1.7504059791e-02
1.0355114         	1.5474487840e-02
1.0411932         	1.3316948865e-02
1.046875          	1.1399424020e-02
1.0525568         	9.9015986010e-03
1.0582386         	8.8478965664e-03
1.0639205         	8.1671200938e-03
1.0696023         	7.7545521393e-03
1.0752841         	7.5111685881e-03
1.0809659         	7.3639057381e-03
1.0866477         	7.2717265147e-03
1.0923295         	7.2222817411e-03
1.0980114         	7.2217812008e-03
1.1036932         	7.2822442375e-03
1.109375          	7.4143769707e-03
1.1150568         	7.6256964891e-03
1.1207386         	7.9236236395e-03
1.1264205         	8.3206224411e-03
1.1321023         	8.8388959987e-03
1.1377841         	9.5128225543e-03
1.1434659         	1.0388960448e-02
1.1491477         	1.1522100313e-02
1.1548295         	1.2956697387e-02
1.1605114         	1.4670278884e-02
1.1661932         	1.6480486973e-02
1.171875          	1.8000983593e-02
1.1775568         	1.8761479546e-02
1.1832386         	1.8468187648e-02
1.1889205         	1.7199328242e-02
1.1946023         	1.5357907120e-02
