# Region type :   patch main_inlet
# Faces           : 348
# Area            : 8.2964484169e-02
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.002159518       	-3.3864226355e+01
0.0097094453      	-3.3869440312e+01
0.017263576       	-3.3889845664e+01
0.024819414       	-3.3928150876e+01
0.032375252       	-3.3934655169e+01
0.03993109        	-3.3916013778e+01
0.047486927       	-3.3897945200e+01
0.055042765       	-3.3906035996e+01
0.062598603       	-3.3915055574e+01
0.070154441       	-3.3900651331e+01
0.077710279       	-3.3806288540e+01
0.085266116       	-3.3605526312e+01
0.092821954       	-3.3450697008e+01
0.10037736        	-3.3424343441e+01
0.10792453        	-3.3397338236e+01
0.1154717         	-3.3380117635e+01
0.12301887        	-3.3389676215e+01
0.13056604        	-3.3400599659e+01
0.13811321        	-3.3407727113e+01
0.14566038        	-3.3411247211e+01
0.15320755        	-3.3431937388e+01
0.16075472        	-3.3527821337e+01
0.16830189        	-3.3694753536e+01
0.17584906        	-3.3826694153e+01
0.18339623        	-3.3883191779e+01
0.1909434         	-3.3906394349e+01
0.19849057        	-3.3915187373e+01
0.20555571        	-3.3910056287e+01
0.21191137        	-3.3901744938e+01
0.21806441        	-3.3896062899e+01
0.22396187        	-3.3890277438e+01
0.22939783        	-3.3879970252e+01
0.23430923        	-3.3857428167e+01
0.23884173        	-3.3816088030e+01
0.24320954        	-3.3754880365e+01
0.24761456        	-3.3677384397e+01
0.25219901        	-3.3592850822e+01
0.25704062        	-3.3516124476e+01
0.26223329        	-3.3460185263e+01
0.26804623        	-3.3426330699e+01
0.27487734        	-3.3408017356e+01
0.2824821         	-3.3401929533e+01
0.29009858        	-3.3404679200e+01
0.29771506        	-3.3409638704e+01
0.30528302        	-3.3416885654e+01
0.31283019        	-3.3440504689e+01
0.32037736        	-3.3501452956e+01
0.32792453        	-3.3606925241e+01
0.3354717         	-3.3728358216e+01
0.34301887        	-3.3819619501e+01
0.35056604        	-3.3865657338e+01
0.35745951        	-3.3883549394e+01
0.3632744         	-3.3890865674e+01
0.36895392        	-3.3893581652e+01
0.3746821         	-3.3893362874e+01
0.38037974        	-3.3890650208e+01
0.38589242        	-3.3882763760e+01
0.39110984        	-3.3865943537e+01
0.39606293        	-3.3837578372e+01
0.40093023        	-3.3795494709e+01
0.40555146        	-3.3741968652e+01
0.41021252        	-3.3677950851e+01
0.41502152        	-3.3610120555e+01
0.42007819        	-3.3546454883e+01
0.42548063        	-3.3495150146e+01
0.43133088        	-3.3460741712e+01
0.43773959        	-3.3441139838e+01
0.4446575         	-3.3428473385e+01
0.45185791        	-3.3418498866e+01
0.45923189        	-3.3412834014e+01
0.46678154        	-3.3418155589e+01
0.47433119        	-3.3446136563e+01
0.48188084        	-3.3506574906e+01
0.48943049        	-3.3598634528e+01
0.49698014        	-3.3700359952e+01
0.5045283         	-3.3781731441e+01
0.51207547        	-3.3831234400e+01
0.51920192        	-3.3856584940e+01
0.52533635        	-3.3870190150e+01
0.53124465        	-3.3879493377e+01
0.53708385        	-3.3884944190e+01
0.54277123        	-3.3884117168e+01
0.54820277        	-3.3873893341e+01
0.55335337        	-3.3852447323e+01
0.55826845        	-3.3819899574e+01
0.56305169        	-3.3776984679e+01
0.56782098        	-3.3724547834e+01
0.57265918        	-3.3666083537e+01
0.57765237        	-3.3607863231e+01
0.58288883        	-3.3554988717e+01
0.58844087        	-3.3512133803e+01
0.5943323         	-3.3481173365e+01
0.60064725        	-3.3458959728e+01
0.60729742        	-3.3441258312e+01
0.61423314        	-3.3428355027e+01
0.62157455        	-3.3423609729e+01
0.62915189        	-3.3434529602e+01
0.63672923        	-3.3470662903e+01
0.64430657        	-3.3536379120e+01
0.6518839         	-3.3622921809e+01
0.65946124        	-3.3708438767e+01
0.66703858        	-3.3774665211e+01
0.67461592        	-3.3818155792e+01
0.68158652        	-3.3843840661e+01
0.68779963        	-3.3859565099e+01
0.69377273        	-3.3869134070e+01
0.69970346        	-3.3872082253e+01
0.70526425        	-3.3866168084e+01
0.71055169        	-3.3849986126e+01
0.71561477        	-3.3823060516e+01
0.7205258         	-3.3786497509e+01
0.72538731        	-3.3741350391e+01
0.73028888        	-3.3689782106e+01
0.73529997        	-3.3636908426e+01
0.74050043        	-3.3586846986e+01
0.74595156        	-3.3543535526e+01
0.75168501        	-3.3509419319e+01
0.75773852        	-3.3483223497e+01
0.76411968        	-3.3462171939e+01
0.77081571        	-3.3446556775e+01
0.7779137         	-3.3439102565e+01
0.78550237        	-3.3444814068e+01
0.7931327         	-3.3471510520e+01
0.80075472        	-3.3523941116e+01
0.80830189        	-3.3597103227e+01
0.81584906        	-3.3675496052e+01
0.82339623        	-3.3742030389e+01
0.8309434         	-3.3789966878e+01
0.83826053        	-3.3821585711e+01
0.84472467        	-3.3840990286e+01
0.85081011        	-3.3852553501e+01
0.85666046        	-3.3856445621e+01
0.86227187        	-3.3851757504e+01
0.86763581        	-3.3837591329e+01
0.87279125        	-3.3813709837e+01
0.87780413        	-3.3780802613e+01
0.88279197        	-3.3739654050e+01
0.8877798         	-3.3693124862e+01
0.89285464        	-3.3645238943e+01
0.89810858        	-3.3599182724e+01
0.90358056        	-3.3558601645e+01
0.90929361        	-3.3525829280e+01
0.91528719        	-3.3499718511e+01
0.92157277        	-3.3478265016e+01
0.92816067        	-3.3462405661e+01
0.93513917        	-3.3454603113e+01
0.94262263        	-3.3459380195e+01
0.95017229        	-3.3482666419e+01
0.95772194        	-3.3527921198e+01
0.96527159        	-3.3592292015e+01
0.97282125        	-3.3662558230e+01
0.9803709         	-3.3724356707e+01
0.98792055        	-3.3771101464e+01
0.99533809        	-3.3803744179e+01
1.001922          	-3.3824430202e+01
1.008104          	-3.3836898485e+01
1.0140157         	-3.3841325699e+01
1.01968           	-3.3837158216e+01
1.025108          	-3.3823950011e+01
1.0303364         	-3.3801806060e+01
1.0354372         	-3.3771341272e+01
1.0404868         	-3.3733664946e+01
1.0455602         	-3.3691451110e+01
1.0507288         	-3.3647790350e+01
1.0560503         	-3.3605905588e+01
1.0615609         	-3.3569133439e+01
1.0672901         	-3.3538649406e+01
1.0732675         	-3.3513114146e+01
1.0795056         	-3.3492046421e+01
1.0860295         	-3.3476739785e+01
1.0929194         	-3.3469244270e+01
1.1003774         	-3.3473888392e+01
