# Region type :   patch main_inlet
# Faces           : 348
# Area            : 8.2964484169e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.0022170817      	6.9448334269e+06
0.012104396       	6.9472914959e+06
0.022092533       	6.9577012029e+06
0.032001994       	6.9621908501e+06
0.041837691       	6.9605608200e+06
0.051479363       	6.9601920530e+06
0.060925837       	6.9603437289e+06
0.069845766       	6.9563723147e+06
0.077660705       	6.9415350757e+06
0.084643083       	6.9116180595e+06
0.091468379       	6.8778998800e+06
0.098293676       	6.8611912045e+06
0.10578782        	6.8551561977e+06
0.1144013         	6.8475769076e+06
0.12403405        	6.8449498878e+06
0.13402957        	6.8447210238e+06
0.14402509        	6.8417881102e+06
0.15402061        	6.8455206637e+06
0.16401613        	6.8693413559e+06
0.17401165        	6.9083122919e+06
0.18400717        	6.9346661894e+06
0.19400269        	6.9467904464e+06
0.204             	6.9533994668e+06
0.214             	6.9553789176e+06
0.224             	6.9586048812e+06
0.23398892        	6.9587142669e+06
0.24312881        	6.9465256547e+06
0.2512232         	6.9247537649e+06
0.25880566        	6.9008760329e+06
0.26633834        	6.8809116946e+06
0.27419202        	6.8668665209e+06
0.28269411        	6.8575553488e+06
0.29210063        	6.8518311304e+06
0.302             	6.8471441207e+06
0.312             	6.8434828939e+06
0.322             	6.8484536476e+06
0.332             	6.8668414264e+06
0.342             	6.8944458990e+06
0.352             	6.9202422419e+06
0.362             	6.9366321698e+06
0.372             	6.9454426136e+06
0.382             	6.9513474864e+06
0.39038384        	6.9552587433e+06
0.39649956        	6.9564071352e+06
0.40169087        	6.9548601276e+06
0.40620548        	6.9508478029e+06
0.4104127         	6.9447293293e+06
0.41446592        	6.9369188683e+06
0.4184865         	6.9278438404e+06
0.42257192        	6.9178602487e+06
0.42678513        	6.9074260319e+06
0.43114363        	6.8971383748e+06
0.43563391        	6.8876124765e+06
0.44025153        	6.8793175485e+06
0.4450129         	6.8724059339e+06
0.44993414        	6.8666987415e+06
0.45501884        	6.8617710281e+06
0.46025542        	6.8572783236e+06
0.46564312        	6.8531192241e+06
0.47125257        	6.8495937216e+06
0.47730181        	6.8476050398e+06
0.48423701        	6.8493385799e+06
0.49283595        	6.8592246265e+06
0.503             	6.8795789758e+06
0.513             	6.9015518277e+06
0.523             	6.9192944977e+06
0.53209285        	6.9309378775e+06
0.53947757        	6.9385908636e+06
0.54603193        	6.9448101883e+06
0.55212816        	6.9496399180e+06
0.5578127         	6.9522251426e+06
0.56302255        	6.9521167634e+06
0.56778503        	6.9495053032e+06
0.57227146        	6.9448189894e+06
0.57667282        	6.9384520755e+06
0.581122          	6.9307771300e+06
0.58570202        	6.9221357303e+06
0.59042895        	6.9131367038e+06
0.59521447        	6.9045695960e+06
0.6               	6.8967443849e+06
0.60480057        	6.8897392597e+06
0.60958446        	6.8833045105e+06
0.61437165        	6.8770318744e+06
0.61919084        	6.8708101755e+06
0.62408365        	6.8645986652e+06
0.62912825        	6.8586742658e+06
0.63444944        	6.8536351197e+06
0.64027222        	6.8504355445e+06
0.64697206        	6.8508445771e+06
0.65515069        	6.8581405780e+06
0.66500569        	6.8740425969e+06
0.67500406        	6.8919749477e+06
0.68500244        	6.9077545523e+06
0.69434642        	6.9206846386e+06
0.70267167        	6.9317282039e+06
0.7097158         	6.9403084020e+06
0.715984          	6.9460668199e+06
0.7215634         	6.9487433254e+06
0.72660189        	6.9485485879e+06
0.73132436        	6.9460644301e+06
0.73594102        	6.9416396148e+06
0.74060466        	6.9356185580e+06
0.74540184        	6.9284473916e+06
0.7503405         	6.9206880895e+06
0.75533649        	6.9129904392e+06
0.76029069        	6.9057487768e+06
0.76514609        	6.8989702994e+06
0.76991081        	6.8925259834e+06
0.77462207        	6.8860952097e+06
0.77932697        	6.8795096424e+06
0.78409919        	6.8728515759e+06
0.78900724        	6.8663711100e+06
0.79416136        	6.8605834891e+06
0.79971419        	6.8563854509e+06
0.80588227        	6.8548664923e+06
0.81300803        	6.8576157552e+06
0.82149261        	6.8663753208e+06
0.83130445        	6.8806011950e+06
0.841333          	6.8957688297e+06
