# Region type :   sampledSurface planeZ3p
# Faces           : 1018
# Area            : 8.2958402170e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.0022328599      	6.8999520308e+06
0.013770526       	6.9074137765e+06
0.025290374       	6.9516319554e+06
0.035768031       	6.9536012260e+06
0.045976227       	6.9567699802e+06
0.055798215       	6.9527763086e+06
0.065487328       	6.9322924812e+06
0.074536052       	6.9098324772e+06
0.082450501       	6.9054061687e+06
0.089782593       	6.9016961795e+06
0.097080741       	6.8914835977e+06
0.10468577        	6.8747026499e+06
0.11341224        	6.8578142874e+06
0.12350552        	6.8499368019e+06
0.13487663        	6.8466661379e+06
0.14671725        	6.8605148665e+06
0.15855786        	6.8826934475e+06
0.17039847        	6.8927956451e+06
0.18223908        	6.9075161908e+06
0.19407969        	6.9297859826e+06
0.20591716        	6.9453100012e+06
0.21775148        	6.9509134951e+06
0.22947529        	6.9424794483e+06
0.24009566        	6.9269709929e+06
0.24932443        	6.9158854198e+06
0.25754043        	6.9076692051e+06
0.26540942        	6.8975869142e+06
0.27346911        	6.8846955220e+06
0.2821754         	6.8710036003e+06
0.29172289        	6.8593565940e+06
0.30212778        	6.8536316459e+06
0.31311878        	6.8587016361e+06
0.3248729         	6.8718500009e+06
0.33670394        	6.8845037679e+06
0.34853498        	6.8982849152e+06
0.36036602        	6.9154246227e+06
0.37219706        	6.9324349048e+06
0.3840281         	6.9425566447e+06
0.39585914        	6.9407940594e+06
0.40733851        	6.9316543706e+06
0.41728215        	6.9218309005e+06
0.42601529        	6.9121832367e+06
0.43385325        	6.9027507467e+06
0.44078227        	6.8937609021e+06
0.44686903        	6.8853784583e+06
0.45247448        	6.8776838244e+06
0.45796876        	6.8708966981e+06
0.46353113        	6.8656038111e+06
0.46925023        	6.8624485163e+06
0.4752064         	6.8618561852e+06
0.48155143        	6.8639280781e+06
0.48859321        	6.8685457678e+06
0.49691139        	6.8756398231e+06
0.50720608        	6.8857223733e+06
0.51902697        	6.8994725952e+06
0.52997731        	6.9138287448e+06
0.53843925        	6.9245319891e+06
0.5456016         	6.9317097861e+06
0.55226802        	6.9357394248e+06
0.55881005        	6.9367422805e+06
0.56523635        	6.9351744707e+06
0.57126734        	6.9320654966e+06
0.57668774        	6.9283399753e+06
0.58165709        	6.9243217082e+06
0.58648417        	6.9199346591e+06
0.59134142        	6.9150242866e+06
0.5963634         	6.9093420340e+06
0.60158525        	6.9028469185e+06
0.60694204        	6.8958080556e+06
0.61235438        	6.8886320438e+06
0.61781233        	6.8817100781e+06
0.62333661        	6.8754967069e+06
0.62895026        	6.8705131045e+06
0.63470611        	6.8671621014e+06
0.64071549        	6.8658515855e+06
0.64720985        	6.8668012876e+06
0.65458658        	6.8699775139e+06
0.66353716        	6.8756769045e+06
0.67471042        	6.8852563007e+06
0.68647302        	6.8988935534e+06
0.69707012        	6.9125409779e+06
0.7058174         	6.9223603828e+06
0.71327654        	6.9283738827e+06
0.72015993        	6.9314700106e+06
0.72664363        	6.9322094390e+06
0.73271521        	6.9312169384e+06
0.73837565        	6.9291309646e+06
0.7437401         	6.9263023577e+06
0.74900029        	6.9227871328e+06
0.75429669        	6.9184895447e+06
0.75970985        	6.9132276247e+06
0.76521891        	6.9071054223e+06
0.77073972        	6.9002829023e+06
0.77622464        	6.8933045713e+06
0.78163819        	6.8867949278e+06
0.78703872        	6.8811173555e+06
0.79243925        	6.8765412448e+06
0.79802763        	6.8731793437e+06
0.80385404        	6.8711698863e+06
0.81020989        	6.8705914239e+06
0.81737057        	6.8717439593e+06
0.82577035        	6.8750740432e+06
0.83573291        	6.8816899028e+06
0.84665035        	6.8923734571e+06
0.85695669        	6.9045838933e+06
0.86602163        	6.9147390064e+06
0.87406015        	6.9217141123e+06
0.88132409        	6.9258883222e+06
0.88795519        	6.9278934991e+06
0.89404216        	6.9282732422e+06
0.89971779        	6.9274208178e+06
0.90517866        	6.9255769098e+06
0.91059905        	6.9228043628e+06
0.91610457        	6.9190818489e+06
0.92171165        	6.9142985437e+06
0.92733962        	6.9086414672e+06
0.93289998        	6.9024642967e+06
0.93836199        	6.8961586207e+06
0.94375415        	6.8902196126e+06
0.94912163        	6.8850272698e+06
0.95455079        	6.8807194897e+06
0.96015348        	6.8773730329e+06
0.96605934        	6.8751445048e+06
0.97243788        	6.8741226200e+06
0.97953081        	6.8745265166e+06
0.98759646        	6.8769944663e+06
0.996708          	6.8822704013e+06
1.006417          	6.8906508940e+06
1.0161031         	6.9008179740e+06
1.025101          	6.9101462228e+06
1.0332627         	6.9170998686e+06
1.040619          	6.9215786212e+06
1.0472765         	6.9240646999e+06
1.0533813         	6.9250390809e+06
1.059111          	6.9248170762e+06
1.0646626         	6.9235347911e+06
1.070194          	6.9212448186e+06
1.0757968         	6.9179632216e+06
1.0814838         	6.9136501197e+06
1.087175          	6.9085085573e+06
1.0927511         	6.9029624068e+06
1.0983272         	6.8972803600e+06
1.1037866         	6.8919268383e+06
1.1092083         	6.8872273854e+06
1.1147132         	6.8832748611e+06
1.1204025         	6.8801423338e+06
1.1263993         	6.8779638960e+06
1.1328427         	6.8768820125e+06
1.1399001         	6.8771442384e+06
1.1477111         	6.8792914554e+06
1.1562841         	6.8838244374e+06
1.1653395         	6.8908473871e+06
1.1744108         	6.8992893828e+06
1.183088          	6.9073903583e+06
1.1911384         	6.9138399992e+06
1.1985445         	6.9183273526e+06
