# Region type :   patch outlet
# Faces           : 398
# Area            : 8.2960538044e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.0022358089      	6.8999999975e+06
0.013481828       	6.8999999975e+06
0.018188318       	6.8999999975e+06
0.023987194       	6.8999999975e+06
0.031619764       	6.8999999975e+06
0.042726225       	6.8999999975e+06
0.051404691       	6.8999999975e+06
0.058060263       	6.8999999975e+06
0.064115415       	6.8999999975e+06
0.071756686       	6.8999999975e+06
0.081709396       	6.8999999975e+06
0.091835041       	6.8999999975e+06
0.10036765        	6.8999999975e+06
0.10740524        	6.8999999975e+06
0.11547315        	6.8999999975e+06
0.12439801        	6.8999999975e+06
0.13383255        	6.8999999975e+06
0.14292611        	6.8999999975e+06
0.15325337        	6.8999999975e+06
0.16327653        	6.8999999975e+06
0.17225948        	6.8999999975e+06
0.18182505        	6.8999999975e+06
0.19336724        	6.8999999975e+06
0.20395775        	6.8999999975e+06
0.21278253        	6.8999999975e+06
0.22072234        	6.8999999975e+06
0.22806595        	6.8999999975e+06
0.23480425        	6.8999999975e+06
0.24107632        	6.8999999975e+06
0.24705583        	6.8999999975e+06
0.25294147        	6.8999999975e+06
0.25890131        	6.8999999975e+06
0.26507626        	6.8999999975e+06
0.27166115        	6.8999999975e+06
0.27887759        	6.8999999975e+06
0.2866386         	6.8999999975e+06
0.29449825        	6.8999999975e+06
0.30248125        	6.8999999975e+06
0.31115485        	6.8999999975e+06
0.32068248        	6.8999999975e+06
0.32950824        	6.8999999975e+06
0.33796093        	6.8999999975e+06
0.34738772        	6.8999999975e+06
0.35657175        	6.8999999975e+06
0.36471128        	6.8999999975e+06
0.37227694        	6.8999999975e+06
0.37960453        	6.8999999975e+06
0.38670941        	6.8999999975e+06
0.39355016        	6.8999999975e+06
0.4               	6.8999999975e+06
0.40613797        	6.8999999975e+06
0.41210424        	6.8999999975e+06
0.41807457        	6.8999999975e+06
0.42420217        	6.8999999975e+06
0.43061438        	6.8999999975e+06
0.43743328        	6.8999999975e+06
0.44472921        	6.8999999975e+06
0.45246174        	6.8999999975e+06
0.46052188        	6.8999999975e+06
0.46898904        	6.8999999975e+06
0.47823248        	6.8999999975e+06
0.48715046        	6.8999999975e+06
0.49571682        	6.8999999975e+06
0.50440396        	6.8999999975e+06
0.51399175        	6.8999999975e+06
0.52312309        	6.8999999975e+06
0.53149904        	6.8999999975e+06
0.53937816        	6.8999999975e+06
0.54691016        	6.8999999975e+06
0.5540875         	6.8999999975e+06
0.56088416        	6.8999999975e+06
0.56733474        	6.8999999975e+06
0.57355502        	6.8999999975e+06
0.57970502        	6.8999999976e+06
0.58593883        	6.8999999976e+06
0.59240484        	6.8999999977e+06
0.59900933        	6.8999999979e+06
0.60613777        	6.8999999985e+06
0.6137497         	6.8999999997e+06
0.62175329        	6.9000000021e+06
0.63025218        	6.9000000058e+06
0.63943872        	6.9000000114e+06
0.64836968        	6.9000000184e+06
0.6569318         	6.9000000269e+06
0.66567409        	6.9000000377e+06
0.67521365        	6.9000000525e+06
0.68447723        	6.9000000719e+06
0.69300032        	6.9000000959e+06
0.70117186        	6.9000001259e+06
0.7087562         	6.9000001603e+06
0.71597725        	6.9000001963e+06
0.72284564        	6.9000002295e+06
0.72940358        	6.9000002566e+06
0.73576468        	6.9000002767e+06
0.74206566        	6.9000002917e+06
0.74844343        	6.9000003050e+06
0.75501305        	6.9000003209e+06
0.76189173        	6.9000003441e+06
0.76914421        	6.9000003784e+06
0.77680526        	6.9000004250e+06
0.78487376        	6.9000004815e+06
0.79346397        	6.9000005446e+06
0.80276059        	6.9000006127e+06
0.81168523        	6.9000006788e+06
0.82043452        	6.9000007451e+06
0.82950872        	6.9000008182e+06
0.8390808         	6.9000009063e+06
0.84809251        	6.9000010088e+06
0.85645566        	6.9000011289e+06
0.86432653        	6.9000012705e+06
0.87181353        	6.9000014324e+06
0.87895456        	6.9000016064e+06
0.8857923         	6.9000017809e+06
0.89240053        	6.9000019448e+06
0.89900877        	6.9000020926e+06
0.90548223        	6.9000022152e+06
0.9120402         	6.9000023126e+06
0.91881853        	6.9000023853e+06
0.92591207        	6.9000024342e+06
0.9333851         	6.9000024621e+06
0.94126798        	6.9000024737e+06
0.9496447         	6.9000024744e+06
0.95866209        	6.9000024691e+06
0.96784715        	6.9000024620e+06
0.97678784        	6.9000024570e+06
0.98581603        	6.9000024568e+06
0.99525507        	6.9000024653e+06
1.0045242         	6.9000024879e+06
1.0130949         	6.9000025281e+06
1.0211443         	6.9000025893e+06
1.0287994         	6.9000026729e+06
1.0361051         	6.9000027762e+06
1.0431167         	6.9000028920e+06
1.0498788         	6.9000030099e+06
1.0564871         	6.9000031189e+06
1.0630304         	6.9000032094e+06
1.0696525         	6.9000032739e+06
1.0764313         	6.9000033067e+06
1.0834729         	6.9000033057e+06
1.0908343         	6.9000032734e+06
1.0984724         	6.9000032181e+06
1.1065839         	6.9000031501e+06
1.1153188         	6.9000030773e+06
1.1245654         	6.9000030077e+06
1.133703          	6.9000029488e+06
1.1428261         	6.9000029011e+06
1.1522646         	6.9000028641e+06
1.1615201         	6.9000028426e+06
1.1702122         	6.9000028412e+06
1.1783989         	6.9000028638e+06
1.1861849         	6.9000029131e+06
1.1936626         	6.9000029888e+06
