# y+ ()           
# Time            	patch             	min               	max               	average           
0.1               	wall	2.1058777285e+02	9.5222336360e+03	2.7480753802e+03
0.2               	wall	2.1197523386e+02	7.2968157726e+03	1.7341339639e+03
0.3               	wall	6.2033619001e+01	4.2080168702e+03	2.1345969999e+03
0.4               	wall	6.2600809241e+01	4.0153891877e+03	2.1072708568e+03
0.5               	wall	6.2701009312e+01	3.3216541810e+03	1.6554395999e+03
0.6               	wall	6.2137967509e+01	3.8344030204e+03	2.2505074185e+03
0.7               	wall	6.4862498163e+01	2.9535833274e+03	1.7526125861e+03
0.8               	wall	6.2307163252e+01	3.2531229750e+03	1.8434011721e+03
0.9               	wall	6.2357491497e+01	3.6140830125e+03	2.1325453028e+03
1                 	wall	6.4392832383e+01	2.9026172798e+03	1.6515083191e+03
1.1               	wall	6.2410820771e+01	3.3251061052e+03	1.9765412431e+03
1.2               	wall	6.2885074355e+01	3.2122098191e+03	1.9724431791e+03
