# Region type :   patch outlet
# Faces           : 398
# Area            : 8.2960538044e-02
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.0022358089      	0.0000000000e+00
0.012082188       	0.0000000000e+00
0.014746086       	0.0000000000e+00
0.016692635       	0.0000000000e+00
0.018747826       	0.0000000000e+00
0.021054233       	0.0000000000e+00
0.023353692       	0.0000000000e+00
0.025634213       	0.0000000000e+00
0.027942428       	0.0000000000e+00
0.030376467       	0.0000000000e+00
0.033407289       	8.2093673039e-296
0.038590147       	8.9446994843e-245
0.044344487       	1.8115170146e-219
0.050114102       	5.3668905474e-201
0.054238893       	2.8444111927e-192
0.057535219       	3.3426434942e-186
0.060569799       	7.7589546355e-181
0.063381043       	9.0504499606e-176
0.066125682       	2.1469289950e-170
0.068980163       	1.6353305344e-164
0.071931618       	1.0550078742e-158
0.075045893       	6.8737413851e-153
0.078503497       	1.8151558304e-146
0.082431885       	2.3517038778e-139
0.0869164         	6.7097031106e-132
0.091145429       	7.6643541972e-126
0.094631496       	2.5142949095e-121
0.097564602       	1.1579055308e-117
0.1002656         	2.8773549689e-114
0.10297949        	7.0613063888e-111
0.10600535        	3.8347391200e-107
0.10961625        	1.0881659090e-102
0.11320654        	1.0526843183e-98
0.11615337        	5.5852207270e-96
0.11881395        	6.5018801912e-94
0.121523          	3.8647798201e-92
0.12449685        	1.6269877457e-90
0.12765088        	4.3467420495e-89
0.13066107        	6.3302085610e-88
0.13343826        	5.9157525734e-87
0.13614965        	4.7053332824e-86
0.13903638        	4.1835296019e-85
0.14236144        	5.5542725269e-84
0.14609656        	1.0322713681e-82
0.149685          	1.3662654220e-81
0.15292848        	1.1307989521e-80
0.15602748        	7.2889427558e-80
0.15914454        	4.2707418145e-79
0.16228155        	2.3873264799e-78
0.16535775        	1.3096325477e-77
0.16837532        	7.5826125592e-77
0.17148794        	5.2544138843e-76
0.17493985        	5.0142496192e-75
0.17883285        	6.7426387636e-74
0.18260823        	8.3269032936e-73
0.18586942        	6.9901381873e-72
0.18882097        	4.7808325943e-71
0.19173429        	3.3841577220e-70
0.19474646        	2.9885623429e-69
0.19783678        	3.7694699218e-68
0.20091509        	7.2387689584e-67
0.20394401        	2.1495376622e-65
0.20701087        	1.0553836914e-63
0.21018521        	8.3105177786e-62
0.21340889        	7.5175069352e-60
0.21653156        	4.9371291250e-58
0.21947405        	2.0256381223e-56
0.22227467        	5.7571773855e-55
0.22501304        	1.3356554781e-53
0.2277565         	2.8970299726e-52
0.23053431        	6.3208621069e-51
0.23334261        	1.4020256024e-49
0.23617753        	3.1126195784e-48
0.23906052        	7.0054063407e-47
0.24203031        	1.6812425693e-45
0.24509049        	4.5230365098e-44
0.24815198        	1.3507010407e-42
0.25108625        	3.8812416867e-41
0.25384821        	9.3207693362e-40
0.25648678        	1.8589497894e-38
0.25908858        	3.2986637593e-37
0.26173943        	5.6256457842e-36
0.26449889        	9.7218208331e-35
0.26737879        	1.6863048218e-33
0.2703447         	2.7382357872e-32
0.27335765        	3.8256224941e-31
0.27640756        	4.3175681063e-30
0.2794861         	3.7393320037e-29
0.28255035        	2.3791790738e-28
0.28556246        	1.1195104707e-27
0.28852388        	4.1331083883e-27
0.29147834        	1.2987079267e-26
0.29449273        	3.7542705809e-26
0.297601          	1.0527170178e-25
0.30081567        	2.9591001702e-25
0.30413486        	8.4339925078e-25
