# Region type :   patch outlet
# Faces           : 398
# Area            : 8.2960538044e-02
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.0022358089      	1.9170677834e+01
0.012082188       	1.9157320906e+01
0.014746086       	1.9153709522e+01
0.016692635       	1.9150976784e+01
0.018747826       	1.9147750497e+01
0.021054233       	1.9143053994e+01
0.023353692       	1.9137524731e+01
0.025634213       	1.9141582645e+01
0.027942428       	1.9210211930e+01
0.030376467       	1.9570249205e+01
0.033407289       	2.1525305529e+01
0.038590147       	3.5912878142e+01
0.044344487       	5.5898748329e+01
0.050114102       	5.6582412198e+01
0.054238893       	5.6034016879e+01
0.057535219       	5.5717229747e+01
0.060569799       	5.5684202267e+01
0.063381043       	5.7125838987e+01
0.066125682       	5.9979862563e+01
0.068980163       	6.2558353049e+01
0.071931618       	6.3183985933e+01
0.075045893       	6.2901236708e+01
0.078503497       	6.3305050826e+01
0.082431885       	6.3038387462e+01
0.0869164         	6.0868779947e+01
0.091145429       	5.9082886406e+01
0.094631496       	5.8471928165e+01
0.097564602       	5.8373565408e+01
0.1002656         	5.8450413255e+01
0.10297949        	5.8765847596e+01
0.10600535        	5.9254811129e+01
0.10961625        	5.8942575827e+01
0.11320654        	5.6582598913e+01
0.11615337        	5.2492126203e+01
0.11881395        	4.6984260748e+01
0.121523          	4.0384918451e+01
0.12449685        	3.3677717723e+01
0.12765088        	2.8525735905e+01
0.13066107        	2.5465677446e+01
0.13343826        	2.3901265544e+01
0.13614965        	2.3245187925e+01
0.13903638        	2.3245655235e+01
0.14236144        	2.3541081643e+01
0.14609656        	2.2890821707e+01
0.149685          	2.1243372828e+01
0.15292848        	1.9833999670e+01
0.15602748        	1.8883597954e+01
0.15914454        	1.8233636879e+01
0.16228155        	1.8153388535e+01
0.16535775        	1.8907085311e+01
0.16837532        	2.0132127581e+01
0.17148794        	2.1177410156e+01
0.17493985        	2.1690758359e+01
0.17883285        	2.1846283809e+01
0.18260823        	2.2073538751e+01
0.18586942        	2.2465519472e+01
0.18882097        	2.3157864490e+01
0.19173429        	2.4587150114e+01
0.19474646        	2.7417814064e+01
0.19783678        	3.2075659037e+01
0.20091509        	3.8172105185e+01
0.20394401        	4.4616372187e+01
0.20701087        	5.0311445625e+01
0.21018521        	5.4419259085e+01
0.21340889        	5.6642548774e+01
0.21653156        	5.7374275150e+01
0.21947405        	5.7373090284e+01
0.22227467        	5.7293565095e+01
0.22501304        	5.7526221582e+01
0.2277565         	5.8217770824e+01
0.23053431        	5.9303807290e+01
0.23334261        	6.0572394424e+01
0.23617753        	6.1765516699e+01
0.23906052        	6.2627909836e+01
0.24203031        	6.2905447597e+01
0.24509049        	6.2568743502e+01
0.24815198        	6.1960243772e+01
0.25108625        	6.1454393382e+01
0.25384821        	6.1105808558e+01
0.25648678        	6.0785021906e+01
0.25908858        	6.0407193833e+01
0.26173943        	5.9931362457e+01
0.26449889        	5.9291999561e+01
0.26737879        	5.8337968412e+01
0.2703447         	5.6746364104e+01
