# Region type :   patch outlet
# Faces           : 728
# Area            : 1.6593233592e-01
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.010674689       	0.0000000000e+00
0.018573538       	0.0000000000e+00
0.027329754       	0.0000000000e+00
0.037294441       	1.7689598541e-277
0.045555572       	8.3741579964e-199
0.052408817       	8.9390788495e-147
0.06769468        	1.3534551890e-104
0.082381476       	3.0231301986e-80
0.097793072       	1.2831035984e-59
0.11370806        	3.5741496039e-45
0.12941396        	7.8448952280e-35
0.14315495        	3.0891588894e-28
0.15818349        	1.7521814134e-23
0.17317057        	2.8405935527e-22
0.18905379        	1.2493746878e-21
0.20410513        	2.3141355974e-21
0.21900909        	3.7965739837e-21
0.23442989        	7.0525772296e-21
0.25062247        	2.0718598153e-20
0.26570057        	9.2260005303e-19
0.28080774        	2.1145801404e-15
0.29535415        	1.7677166919e-12
0.31129775        	9.9624955992e-10
0.32714049        	1.2171087683e-07
0.34206546        	4.2374615086e-06
0.35638813        	5.1922985113e-05
0.37131779        	2.0325281661e-04
0.38646286        	3.0943622705e-04
0.40228649        	3.7474802919e-04
0.41707858        	4.1133790441e-04
0.43208615        	4.8526975358e-04
0.44785524        	5.9842480981e-04
0.46330778        	9.0664670596e-04
0.47850254        	2.3511748624e-03
0.49331996        	6.0047774140e-03
0.50834055        	1.0746258939e-02
0.52423754        	1.3238812239e-02
0.53964535        	1.3524416903e-02
0.55416849        	1.3847839166e-02
0.56883146        	1.5770896375e-02
0.58381489        	1.7586923386e-02
0.59937265        	1.7872638089e-02
0.61457941        	1.8314478453e-02
0.62944105        	1.9513765672e-02
0.64476456        	2.1382545323e-02
0.66033863        	2.4670123283e-02
0.67562613        	3.3374388330e-02
0.69064258        	4.4835253329e-02
0.70558807        	4.2985619921e-02
0.72119687        	3.1643625321e-02
0.73668659        	2.2177137421e-02
0.75148327        	1.7155966912e-02
0.76607377        	1.6345310472e-02
0.7809738         	1.7526785974e-02
0.79629842        	1.7792129327e-02
0.81168361        	1.8328473623e-02
0.82666294        	1.9448148631e-02
0.84178126        	2.1455969661e-02
0.85720497        	2.4975165591e-02
0.87258169        	3.2367110733e-02
0.88772723        	4.1996689757e-02
0.90269468        	4.2174256646e-02
0.91798231        	3.3657993784e-02
0.93345619        	2.4700121499e-02
0.94845752        	1.9292457270e-02
0.9630945         	1.7647437090e-02
0.97791694        	1.8416394322e-02
0.99310874        	1.8904986359e-02
1.0084938         	1.9310569385e-02
1.0236156         	2.0428870334e-02
1.0386428         	2.2474937859e-02
1.0539005         	2.6139131288e-02
1.069267          	3.2621189703e-02
1.0845312         	4.0199234271e-02
1.0995499         	4.0424645940e-02
1.1146346         	3.3498700160e-02
1.1300017         	2.5369085504e-02
1.1451397         	2.0169136871e-02
1.1598898         	1.8356736583e-02
1.1746787         	1.8983558896e-02
1.1897593         	1.9922105775e-02
1.2050953         	2.0468353472e-02
1.2203472         	2.1614586984e-02
1.235371          	2.3655474734e-02
1.2505054         	2.7486363022e-02
1.2658024         	3.3483929820e-02
1.2811154         	3.9559014482e-02
1.296234          	3.9490403050e-02
1.3112562         	3.3335988661e-02
1.3264669         	2.5816782669e-02
1.3416582         	2.0718400150e-02
1.3565341         	1.8733961590e-02
1.3713422         	1.9092988601e-02
1.3863326         	2.0280928787e-02
1.4015385         	2.1061192701e-02
1.4168601         	2.2195315536e-02
1.431946          	2.4136489047e-02
1.4470056         	2.7888181077e-02
1.4622085         	3.3629825893e-02
1.4775087         	3.9268488034e-02
1.4927239         	3.9527603876e-02
