# Region type :   patch main_inlet
# Faces           : 728
# Area            : 1.6593310998e-01
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.010674689       	7.0028219335e+06
0.018573538       	7.0033391053e+06
0.027329754       	7.0034633876e+06
0.037294441       	7.0301018410e+06
0.045555572       	7.0274232152e+06
0.052408817       	7.0263851686e+06
0.06769468        	7.0273923555e+06
0.082381476       	7.0232271094e+06
0.097793072       	7.0014339199e+06
0.11370806        	6.8167848819e+06
0.12941396        	6.8041140699e+06
0.14315495        	6.7885742207e+06
0.15818349        	6.7855331995e+06
0.17317057        	6.7859929893e+06
0.18905379        	6.7916314670e+06
0.20410513        	6.8302465517e+06
0.21900909        	6.9844529149e+06
0.23442989        	6.9997203966e+06
0.25062247        	7.0185208962e+06
0.26570057        	7.0119337617e+06
0.28080774        	7.0156994650e+06
0.29535415        	7.0067634036e+06
0.31129775        	6.9435016033e+06
0.32714049        	6.8227290542e+06
0.34206546        	6.8056147367e+06
0.35638813        	6.7888874944e+06
0.37131779        	6.7974005608e+06
0.38646286        	6.7986034094e+06
0.40228649        	6.8164697126e+06
0.41707858        	6.9041455093e+06
0.43208615        	6.9889008872e+06
0.44785524        	7.0083695318e+06
0.46330778        	7.0130954337e+06
0.47850254        	6.9990561668e+06
0.49331996        	6.9951339079e+06
0.50834055        	6.9669116550e+06
0.52423754        	6.8669763143e+06
0.53964535        	6.8099454466e+06
0.55416849        	6.7939200777e+06
0.56883146        	6.7971986953e+06
0.58381489        	6.8138412766e+06
0.59937265        	6.8248255900e+06
0.61457941        	6.8788048741e+06
0.62944105        	6.9696458988e+06
0.64476456        	7.0044227068e+06
0.66033863        	7.0114864109e+06
0.67562613        	6.9932871100e+06
0.69064258        	6.9792849926e+06
0.70558807        	6.9582308591e+06
0.72119687        	6.8866525515e+06
0.73668659        	6.8169892249e+06
0.75148327        	6.7963422526e+06
0.76607377        	6.7984798650e+06
0.7809738         	6.8216665839e+06
0.79629842        	6.8377391542e+06
0.81168361        	6.8757115499e+06
0.82666294        	6.9516932137e+06
0.84178126        	6.9991378013e+06
0.85720497        	7.0090588673e+06
0.87258169        	6.9926562837e+06
0.88772723        	6.9686326499e+06
0.90269468        	6.9493387800e+06
0.91798231        	6.8984923733e+06
0.93345619        	6.8303637920e+06
0.94845752        	6.8005888239e+06
0.9630945         	6.8002655922e+06
0.97791694        	6.8236128172e+06
0.99310874        	6.8477415258e+06
1.0084938         	6.8766099327e+06
1.0236156         	6.9363117215e+06
1.0386428         	6.9890163605e+06
1.0539005         	7.0052967451e+06
1.069267          	6.9931319501e+06
1.0845312         	6.9642238546e+06
1.0995499         	6.9414823529e+06
1.1146346         	6.9042731279e+06
1.1300017         	6.8455413109e+06
1.1451397         	6.8080893857e+06
1.1598898         	6.8029959208e+06
1.1746787         	6.8229840924e+06
1.1897593         	6.8529344579e+06
1.2050953         	6.8796167537e+06
1.2203472         	6.9254544255e+06
1.235371          	6.9761529691e+06
1.2505054         	6.9993381177e+06
1.2658024         	6.9927281606e+06
1.2811154         	6.9641819157e+06
1.296234          	6.9361011578e+06
1.3112562         	6.9056695226e+06
1.3264669         	6.8584502793e+06
1.3416582         	6.8184692010e+06
1.3565341         	6.8072882270e+06
1.3713422         	6.8223163537e+06
1.3863326         	6.8537874690e+06
1.4015385         	6.8826157197e+06
1.4168601         	6.9188271799e+06
1.431946          	6.9633292139e+06
1.4470056         	6.9909823401e+06
1.4622085         	6.9907126793e+06
1.4775087         	6.9660166428e+06
1.4927239         	6.9342054180e+06
