# Region type :   patch outlet
# Faces           : 728
# Area            : 1.6593233592e-01
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.010674689       	6.9000000000e+06
0.018573538       	6.9000000000e+06
0.027329754       	6.9000000000e+06
0.037294441       	6.9000000000e+06
0.045555572       	6.9000000000e+06
0.052408817       	6.9000000000e+06
0.06769468        	6.9000000000e+06
0.082381476       	6.9000000000e+06
0.097793072       	6.9000000000e+06
0.11370806        	6.9000000000e+06
0.12941396        	6.9000000000e+06
0.14315495        	6.9000000000e+06
0.15818349        	6.9000000000e+06
0.17317057        	6.9000000000e+06
0.18905379        	6.9000000000e+06
0.20410513        	6.9000000000e+06
0.21900909        	6.9000000000e+06
0.23442989        	6.9000000000e+06
0.25062247        	6.9000000000e+06
0.26570057        	6.9000000000e+06
0.28080774        	6.9000000000e+06
0.29535415        	6.9000000000e+06
0.31129775        	6.9000000000e+06
0.32714049        	6.9000000000e+06
0.34206546        	6.9000000010e+06
0.35638813        	6.9000000113e+06
0.37131779        	6.9000000413e+06
0.38646286        	6.9000000608e+06
0.40228649        	6.9000000725e+06
0.41707858        	6.9000000808e+06
0.43208615        	6.9000000957e+06
0.44785524        	6.9000001165e+06
0.46330778        	6.9000001591e+06
0.47850254        	6.9000002914e+06
0.49331996        	6.9000004464e+06
0.50834055        	6.9000003962e+06
0.52423754        	6.9000001995e+06
0.53964535        	6.9000000625e+06
0.55416849        	6.8999998853e+06
0.56883146        	6.8999996097e+06
0.58381489        	6.8999994164e+06
0.59937265        	6.8999993891e+06
0.61457941        	6.8999994633e+06
0.62944105        	6.8999993355e+06
0.64476456        	6.8999991753e+06
0.66033863        	6.8999989278e+06
0.67562613        	6.8999984779e+06
0.69064258        	6.8999984271e+06
0.70558807        	6.8999993837e+06
0.72119687        	6.9000004613e+06
0.73668659        	6.9000008450e+06
0.75148327        	6.9000006728e+06
0.76607377        	6.9000002196e+06
0.7809738         	6.8999998558e+06
0.79629842        	6.8999996581e+06
0.81168361        	6.8999996146e+06
0.82666294        	6.8999994976e+06
0.84178126        	6.8999993167e+06
0.85720497        	6.8999990554e+06
0.87258169        	6.8999986929e+06
0.88772723        	6.8999988509e+06
0.90269468        	6.9000000075e+06
0.91798231        	6.9000009709e+06
0.93345619        	6.9000011928e+06
0.94845752        	6.9000009303e+06
0.9630945         	6.9000004098e+06
0.97791694        	6.8999999325e+06
0.99310874        	6.8999996014e+06
1.0084938         	6.8999995295e+06
1.0236156         	6.8999993776e+06
1.0386428         	6.8999991265e+06
1.0539005         	6.8999987531e+06
1.069267          	6.8999983841e+06
1.0845312         	6.8999986480e+06
1.0995499         	6.8999999100e+06
1.1146346         	6.9000009767e+06
1.1300017         	6.9000012332e+06
1.1451397         	6.9000009631e+06
1.1598898         	6.9000004368e+06
1.1746787         	6.8999999000e+06
1.1897593         	6.8999994726e+06
1.2050953         	6.8999993083e+06
1.2203472         	6.8999991577e+06
1.235371          	6.8999988925e+06
1.2505054         	6.8999984884e+06
1.2658024         	6.8999981800e+06
1.2811154         	6.8999985588e+06
1.296234          	6.8999998674e+06
1.3112562         	6.9000009810e+06
1.3264669         	6.9000012492e+06
1.3416582         	6.9000009607e+06
1.3565341         	6.9000004459e+06
1.3713422         	6.8999999009e+06
1.3863326         	6.8999994995e+06
1.4015385         	6.8999991645e+06
1.4168601         	6.8999990248e+06
1.431946          	6.8999987428e+06
1.4470056         	6.8999983246e+06
1.4622085         	6.8999980188e+06
1.4775087         	6.8999983666e+06
1.4927239         	6.8999996438e+06
