# Region type :   patch outlet
# Faces           : 812
# Area            : 1.6593145021e-01
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(H2)
0.010237228       	0.0000000000e+00
0.0158081         	0.0000000000e+00
0.021805977       	0.0000000000e+00
0.028376943       	0.0000000000e+00
0.035992336       	0.0000000000e+00
0.042917035       	9.0039878444e-248
0.04818163        	2.6722054232e-202
0.053154388       	1.4864996339e-167
0.058853229       	1.7589886441e-148
0.064092604       	5.7583434019e-134
0.069335657       	1.9053727671e-121
0.074522274       	6.4972473739e-110
0.079187063       	5.9278555179e-101
0.083246495       	2.3673069053e-93
0.087992679       	6.0479122258e-84
0.093105176       	1.7473699567e-75
0.098150689       	2.0026160895e-68
0.10320725        	4.4162457463e-62
0.10818199        	1.6726208058e-56
0.11307197        	9.7967828762e-52
0.11794244        	1.9496924385e-47
0.12307206        	2.8935732596e-43
0.12803848        	1.3567161123e-39
0.13268564        	1.4833451294e-36
0.13730895        	6.9209567670e-34
0.14248528        	2.9277260569e-31
0.14767925        	7.1816035547e-29
0.15284529        	8.0675763124e-27
0.15809467        	1.7419939856e-25
0.16341595        	6.4391007104e-25
0.16864526        	1.3728962901e-24
0.1738956         	2.8004142319e-24
0.17936648        	5.5298303985e-24
0.18571165        	1.1244283944e-23
0.19153786        	1.7574738793e-23
0.19676354        	2.1542106902e-23
0.20199085        	2.5559683125e-23
0.20726679        	2.9614410550e-23
0.21262032        	3.5648326916e-23
0.21812954        	4.8036849205e-23
0.22353643        	6.4183980028e-23
0.2288909         	8.0747664116e-23
0.23465103        	1.0155067937e-22
0.24056119        	1.4327890313e-22
0.24589946        	2.2990595818e-22
0.25127735        	4.1127942435e-22
0.25667966        	9.7229710213e-22
0.26212148        	7.2672401334e-21
0.27136946        	2.0304854463e-18
0.28040564        	3.8564296215e-16
0.28850536        	2.8005509025e-14
0.29682601        	1.7802407812e-12
0.30570838        	9.9356135505e-11
0.31456656        	2.9851643321e-09
0.32324611        	4.9921092551e-08
0.33202304        	6.1876276603e-07
0.34054444        	5.1046240854e-06
0.34915402        	2.9449160837e-05
0.35820877        	1.2492380359e-04
0.36733831        	2.7737982466e-04
0.37652458        	3.7871862735e-04
0.38618393        	4.7271399154e-04
0.3965202         	5.4481271840e-04
0.40590238        	5.7097242955e-04
0.41518917        	6.0393469465e-04
0.42462369        	6.6590248141e-04
0.43407929        	7.3871995739e-04
0.44388512        	8.3128778027e-04
0.45344402        	9.7995114453e-04
0.46277232        	1.3100505110e-03
0.47210832        	2.3663619055e-03
0.48119775        	4.3489737117e-03
0.48966935        	6.6162393689e-03
0.49789735        	8.4214332394e-03
0.50659677        	9.4157055840e-03
0.51540967        	9.9811057544e-03
0.52421996        	1.0703804277e-02
0.53300725        	1.1775223927e-02
0.5417508         	1.3157396750e-02
0.55044206        	1.4910803558e-02
0.55940447        	1.7438553910e-02
0.56851275        	2.0186123197e-02
0.57771669        	2.1847481812e-02
0.58728807        	2.2652930642e-02
0.59739727        	2.2414880984e-02
0.60697783        	1.7050050184e-02
0.61629999        	2.2379564603e-02
0.62564825        	2.3783216870e-02
0.63505172        	2.5233287936e-02
0.64461238        	2.6920021672e-02
0.6541458         	2.9166298069e-02
0.66346362        	3.2919556110e-02
0.67271897        	3.9730545067e-02
0.68169408        	4.4812672056e-02
0.69022133        	4.4299032149e-02
0.69857917        	4.0854316187e-02
0.70721575        	3.6105524663e-02
0.71602615        	3.0880204867e-02
0.72486709        	2.5894646601e-02
0.73371032        	2.1488090806e-02
0.74255875        	1.8132461476e-02
0.75141057        	1.6323569326e-02
0.76042161        	1.6233302698e-02
0.76956588        	1.7228687901e-02
0.77880991        	1.8050056887e-02
0.78840503        	1.8392100397e-02
0.79839713        	1.8481130095e-02
0.80800106        	1.7333830201e-02
0.81735342        	1.9417532063e-02
0.82669614        	2.0360248015e-02
0.83606039        	2.1681602603e-02
0.84550966        	2.3419386827e-02
0.85494334        	2.5822064197e-02
0.86422949        	2.9671004126e-02
0.87338766        	3.5880353457e-02
0.88228268        	4.1654223725e-02
0.89085409        	4.3506572263e-02
0.89924517        	4.1685058149e-02
0.90787087        	3.7482983520e-02
0.91667633        	3.2249964723e-02
0.92554246        	2.7280761675e-02
0.93444191        	2.3138602376e-02
0.94337271        	2.0137491390e-02
0.95233435        	1.8572365624e-02
0.96141225        	1.8487264735e-02
0.97059744        	1.9272937981e-02
0.97989051        	1.9908832052e-02
0.98950813        	1.9679126275e-02
0.99940548        	1.9409089836e-02
1.0090008         	1.9860865067e-02
1.0183778         	2.0746195813e-02
1.0277065         	2.1849527077e-02
1.0370396         	2.3457892783e-02
1.0464148         	2.5545086401e-02
1.0557713         	2.8358635615e-02
1.0650092         	3.2463674579e-02
1.0741021         	3.7710034314e-02
1.0829485         	4.1270025100e-02
1.0915281         	4.1264664375e-02
1.1               	3.8505552154e-02
1.1086333         	3.4173218288e-02
1.1174364         	2.9387866589e-02
1.1263286         	2.5177357004e-02
1.1352735         	2.1990278082e-02
1.1442707         	2.0000640965e-02
1.1533127         	1.9341853419e-02
1.1624482         	1.9912706025e-02
1.1716685         	2.1031319874e-02
1.1810097         	2.1602712929e-02
1.1906367         	2.1573671405e-02
