# Region type :   patch main_inlet
# Faces           : 806
# Area            : 1.6593310912e-01
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.010237228       	7.0046063717e+06
0.0158081         	7.0036151370e+06
0.021805977       	7.0031804763e+06
0.028376943       	7.0037611988e+06
0.035992336       	7.0310067277e+06
0.042917035       	7.0291983185e+06
0.04818163        	7.0278859253e+06
0.053154388       	7.0273725784e+06
0.058853229       	7.0241484407e+06
0.064092604       	7.0253846124e+06
0.069335657       	7.0271855520e+06
0.074522274       	7.0328769305e+06
0.079187063       	7.0275759016e+06
0.083246495       	7.0217194186e+06
0.087992679       	7.0092637321e+06
0.093105176       	7.0048021164e+06
0.098150689       	7.0038816167e+06
0.10320725        	6.9715481314e+06
0.10818199        	6.8655570497e+06
0.11307197        	6.8129871444e+06
0.11794244        	6.8101602331e+06
0.12307206        	6.8097182972e+06
0.12803848        	6.8046677027e+06
0.13268564        	6.8050584942e+06
0.13730895        	6.7986213706e+06
0.14248528        	6.7846319515e+06
0.14767925        	6.7835228537e+06
0.15284529        	6.7839514156e+06
0.15809467        	6.7847074037e+06
0.16341595        	6.7898860630e+06
0.16864526        	6.7882215100e+06
0.1738956         	6.7846094049e+06
0.17936648        	6.7812146764e+06
0.18571165        	6.7879020386e+06
0.19153786        	6.8003600092e+06
0.19676354        	6.8053961033e+06
0.20199085        	6.8131318765e+06
0.20726679        	6.8686624750e+06
0.21262032        	6.9613813604e+06
0.21812954        	6.9912059576e+06
0.22353643        	6.9928263714e+06
0.2288909         	6.9960028200e+06
0.23465103        	6.9987379143e+06
0.24056119        	7.0082762071e+06
0.24589946        	7.0195042031e+06
0.25127735        	7.0213668340e+06
0.25667966        	7.0184553228e+06
0.26212148        	7.0112631863e+06
0.27136946        	7.0114683445e+06
0.28040564        	7.0175114574e+06
0.28850536        	7.0151938673e+06
0.29682601        	7.0010252062e+06
0.30570838        	6.9843649383e+06
0.31456656        	6.8899366353e+06
0.32324611        	6.8234484936e+06
0.33202304        	6.8178654380e+06
0.34054444        	6.8084115467e+06
0.34915402        	6.7917682244e+06
0.35820877        	6.7847895377e+06
0.36733831        	6.7959014315e+06
0.37652458        	6.7973373061e+06
0.38618393        	6.7961227787e+06
0.3965202         	6.8069939248e+06
0.40590238        	6.8265845281e+06
0.41518917        	6.9107010990e+06
0.42462369        	6.9813167952e+06
0.43407929        	6.9912366486e+06
0.44388512        	7.0057707286e+06
0.45344402        	7.0179192433e+06
0.46277232        	7.0138145832e+06
0.47210832        	7.0014422886e+06
0.48119775        	7.0017171678e+06
0.48966935        	6.9978080108e+06
0.49789735        	6.9908726572e+06
0.50659677        	6.9750209482e+06
0.51540967        	6.9168120704e+06
0.52421996        	6.8429063432e+06
0.53300725        	6.8178918668e+06
0.5417508         	6.8055725688e+06
0.55044206        	6.7941054620e+06
0.55940447        	6.7863612004e+06
0.56851275        	6.7982614188e+06
0.57771669        	6.8085990780e+06
0.58728807        	6.8129325237e+06
0.59739727        	6.8222412377e+06
0.60697783        	6.8442381887e+06
0.61629999        	6.9081849369e+06
0.62564825        	6.9740294142e+06
0.63505172        	6.9944342534e+06
0.64461238        	7.0076545003e+06
0.6541458         	7.0160918888e+06
0.66346362        	7.0113509429e+06
0.67271897        	6.9948702382e+06
0.68169408        	6.9879166443e+06
0.69022133        	6.9810957815e+06
0.69857917        	6.9724042528e+06
0.70721575        	6.9530755926e+06
0.71602615        	6.9022485765e+06
0.72486709        	6.8420937235e+06
0.73371032        	6.8136749249e+06
0.74255875        	6.8009924252e+06
0.75141057        	6.7916024752e+06
0.76042161        	6.7890908053e+06
0.76956588        	6.8046050875e+06
0.77880991        	6.8198122953e+06
0.78840503        	6.8285767775e+06
0.79839713        	6.8405734929e+06
0.80800106        	6.8656185580e+06
0.81735342        	6.9210603915e+06
0.82669614        	6.9756237652e+06
0.83606039        	6.9983278354e+06
0.84550966        	7.0095987685e+06
0.85494334        	7.0149199689e+06
0.86422949        	7.0070363267e+06
0.87338766        	6.9882995871e+06
0.88228268        	6.9758964672e+06
0.89085409        	6.9664046722e+06
0.89924517        	6.9558948742e+06
0.90787087        	6.9352256251e+06
0.91667633        	6.8902886848e+06
0.92554246        	6.8390105553e+06
0.93444191        	6.8104538917e+06
0.94337271        	6.7978324540e+06
0.95233435        	6.7909346766e+06
0.96141225        	6.7935368696e+06
0.97059744        	6.8118920622e+06
0.97989051        	6.8305597823e+06
0.98950813        	6.8432250895e+06
0.99940548        	6.8571100803e+06
1.0090008         	6.8831603787e+06
1.0183778         	6.9319244794e+06
1.0277065         	6.9782712611e+06
1.0370396         	7.0006349236e+06
1.0464148         	7.0103879567e+06
1.0557713         	7.0126384638e+06
1.0650092         	7.0015180566e+06
1.0741021         	6.9812611677e+06
1.0829485         	6.9651201513e+06
1.0915281         	6.9532136186e+06
1.1               	6.9413049933e+06
1.1086333         	6.9198121374e+06
1.1174364         	6.8796949558e+06
1.1263286         	6.8353567515e+06
1.1352735         	6.8082597582e+06
1.1442707         	6.7963351259e+06
1.1533127         	6.7923358833e+06
1.1624482         	6.7992849087e+06
1.1716685         	6.8199164281e+06
1.1810097         	6.8410353069e+06
1.1906367         	6.8565859645e+06
