# Region type :   patch outlet
# Faces           : 812
# Area            : 1.6593145021e-01
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p_rgh)
0.010237228       	6.8999999997e+06
0.0158081         	6.8999999997e+06
0.021805977       	6.8999999997e+06
0.028376943       	6.8999999997e+06
0.035992336       	6.8999999997e+06
0.042917035       	6.8999999997e+06
0.04818163        	6.8999999997e+06
0.053154388       	6.8999999997e+06
0.058853229       	6.8999999997e+06
0.064092604       	6.8999999997e+06
0.069335657       	6.8999999997e+06
0.074522274       	6.8999999997e+06
0.079187063       	6.8999999997e+06
0.083246495       	6.8999999997e+06
0.087992679       	6.8999999997e+06
0.093105176       	6.8999999997e+06
0.098150689       	6.8999999997e+06
0.10320725        	6.8999999997e+06
0.10818199        	6.8999999997e+06
0.11307197        	6.8999999997e+06
0.11794244        	6.8999999997e+06
0.12307206        	6.8999999997e+06
0.12803848        	6.8999999997e+06
0.13268564        	6.8999999997e+06
0.13730895        	6.8999999997e+06
0.14248528        	6.8999999997e+06
0.14767925        	6.8999999997e+06
0.15284529        	6.8999999997e+06
0.15809467        	6.8999999997e+06
0.16341595        	6.8999999997e+06
0.16864526        	6.8999999997e+06
0.1738956         	6.8999999997e+06
0.17936648        	6.8999999997e+06
0.18571165        	6.8999999997e+06
0.19153786        	6.8999999997e+06
0.19676354        	6.8999999997e+06
0.20199085        	6.8999999997e+06
0.20726679        	6.8999999997e+06
0.21262032        	6.8999999997e+06
0.21812954        	6.8999999997e+06
0.22353643        	6.8999999997e+06
0.2288909         	6.8999999997e+06
0.23465103        	6.8999999997e+06
0.24056119        	6.8999999997e+06
0.24589946        	6.8999999997e+06
0.25127735        	6.8999999997e+06
0.25667966        	6.8999999997e+06
0.26212148        	6.8999999997e+06
0.27136946        	6.8999999997e+06
0.28040564        	6.8999999997e+06
0.28850536        	6.8999999997e+06
0.29682601        	6.8999999997e+06
0.30570838        	6.8999999997e+06
0.31456656        	6.8999999997e+06
0.32324611        	6.8999999997e+06
0.33202304        	6.8999999998e+06
0.34054444        	6.9000000007e+06
0.34915402        	6.9000000056e+06
0.35820877        	6.9000000232e+06
0.36733831        	6.9000000499e+06
0.37652458        	6.9000000668e+06
0.38618393        	6.9000000818e+06
0.3965202         	6.9000000931e+06
0.40590238        	6.9000000976e+06
0.41518917        	6.9000001057e+06
0.42462369        	6.9000001175e+06
0.43407929        	6.9000001309e+06
0.44388512        	6.9000001469e+06
0.45344402        	6.9000001685e+06
0.46277232        	6.9000002045e+06
0.47210832        	6.9000002811e+06
0.48119775        	6.9000003445e+06
0.48966935        	6.9000003022e+06
0.49789735        	6.9000001568e+06
0.50659677        	6.9000000358e+06
0.51540967        	6.9000000466e+06
0.52421996        	6.9000001075e+06
0.53300725        	6.9000001366e+06
0.5417508         	6.9000000770e+06
0.55044206        	6.8999998658e+06
0.55940447        	6.8999994279e+06
0.56851275        	6.8999989074e+06
0.57771669        	6.8999985879e+06
0.58728807        	6.8999985135e+06
0.59739727        	6.8999985642e+06
0.60697783        	6.9000002845e+06
0.61629999        	6.8999988750e+06
0.62564825        	6.8999985598e+06
0.63505172        	6.8999983383e+06
0.64461238        	6.8999981223e+06
0.6541458         	6.8999978758e+06
0.66346362        	6.8999975403e+06
0.67271897        	6.8999971693e+06
0.68169408        	6.8999974268e+06
0.69022133        	6.8999983738e+06
0.69857917        	6.8999993770e+06
0.70721575        	6.9000001376e+06
0.71602615        	6.9000005317e+06
0.72486709        	6.9000005976e+06
0.73371032        	6.9000004919e+06
0.74255875        	6.9000003389e+06
0.75141057        	6.9000001913e+06
0.76042161        	6.9000000494e+06
0.76956588        	6.8999999229e+06
0.77880991        	6.8999998069e+06
0.78840503        	6.8999997413e+06
0.79839713        	6.8999996969e+06
0.80800106        	6.8999996500e+06
0.81735342        	6.8999997143e+06
0.82669614        	6.8999997024e+06
0.83606039        	6.8999996788e+06
0.84550966        	6.8999996552e+06
0.85494334        	6.8999996289e+06
0.86422949        	6.8999995872e+06
0.87338766        	6.8999995639e+06
0.88228268        	6.8999997311e+06
0.89085409        	6.9000001343e+06
0.89924517        	6.9000005995e+06
0.90787087        	6.9000009707e+06
0.91667633        	6.9000011553e+06
0.92554246        	6.9000011328e+06
0.93444191        	6.9000009575e+06
0.94337271        	6.9000007066e+06
0.95233435        	6.9000004468e+06
0.96141225        	6.9000002178e+06
0.97059744        	6.9000000512e+06
0.97989051        	6.8999999217e+06
0.98950813        	6.8999998693e+06
0.99940548        	6.8999998740e+06
1.0090008         	6.8999999277e+06
1.0183778         	6.8999998695e+06
1.0277065         	6.8999998094e+06
1.0370396         	6.8999997245e+06
1.0464148         	6.8999996496e+06
1.0557713         	6.8999995962e+06
1.0650092         	6.8999995884e+06
1.0741021         	6.8999997351e+06
1.0829485         	6.9000001013e+06
1.0915281         	6.9000005093e+06
1.1               	6.9000008239e+06
1.1086333         	6.9000010600e+06
1.1174364         	6.9000012137e+06
1.1263286         	6.9000012174e+06
1.1352735         	6.9000010543e+06
1.1442707         	6.9000007581e+06
1.1533127         	6.9000003828e+06
1.1624482         	6.9000000026e+06
1.1716685         	6.8999997125e+06
1.1810097         	6.8999995077e+06
1.1906367         	6.8999994195e+06
